paper_id,journal,paper_topic,max_h-index,writing_quality,accepted
886,B,Bayes,6,76,1
887,B,Linear regression,2,41,0
888,B,Neural Networks,15,88,1
889,A,Neural Networks,24,74,0
890,B,Linear regression,18,71,0
891,A,Neural Networks,17,77,0
892,A,Linear regression,24,75,0
893,B,Neural Networks,19,65,0
894,A,Neural Networks,28,97,0
895,A,Neural Networks,13,70,1
896,A,Bayes,19,69,0
897,B,Bayes,13,61,0
898,A,NLP,26,60,0
899,A,NLP,13,66,0
900,A,Neural Networks,11,76,0
901,A,Neural Networks,17,83,0
902,B,Bayes,10,69,0
903,B,Bayes,49,90,0
904,B,NLP,42,95,0
905,A,Linear regression,19,71,0
906,A,NLP,15,47,1
907,B,Linear regression,24,86,1
908,B,NLP,30,79,0
909,A,NLP,42,75,0
910,A,Linear regression,13,62,0
911,A,Neural Networks,18,76,0
912,B,Bayes,26,75,0
913,A,Linear regression,9,66,0
914,A,Neural Networks,21,56,1
915,A,Bayes,21,77,0
916,A,Bayes,31,51,0
917,A,Bayes,32,80,0
918,A,NLP,7,76,0
919,B,Bayes,46,79,1
920,B,Linear regression,18,89,0
921,B,Linear regression,21,80,0
922,B,Neural Networks,4,54,1
923,B,NLP,50,92,0
924,A,Linear regression,14,79,1
925,B,NLP,14,61,0
926,A,Linear regression,21,73,1
927,A,Neural Networks,13,65,0
928,B,Bayes,27,90,1
929,B,Neural Networks,19,72,1
930,A,Neural Networks,24,66,0
931,A,NLP,42,75,1
932,A,Neural Networks,13,68,0
933,A,Neural Networks,45,80,0
934,B,Linear regression,8,62,0
935,A,Neural Networks,14,72,1
936,B,NLP,18,65,1
937,A,Linear regression,36,97,0
938,B,Neural Networks,39,68,0
939,B,Linear regression,21,93,0
940,A,NLP,48,100,1
941,A,Neural Networks,65,88,1
942,A,NLP,23,84,0
943,A,NLP,19,60,1
944,B,Linear regression,18,80,0
945,B,Gaussian Process,14,71,0
946,B,Bayes,39,69,1
947,A,Bayes,13,73,0
948,A,NLP,65,100,0
949,B,Linear regression,15,68,0
950,A,Neural Networks,24,88,0
951,A,Linear regression,26,91,0
952,A,Neural Networks,14,66,0
953,B,NLP,7,61,0
954,A,Linear regression,39,59,0
955,A,Linear regression,11,81,0
956,A,Bayes,9,46,0
957,B,Bayes,24,91,0
958,B,Neural Networks,18,61,0
959,A,NLP,38,89,1
960,A,Neural Networks,25,92,1
961,B,Neural Networks,26,68,0
962,A,Bayes,40,97,0
963,B,Neural Networks,8,62,0
964,A,Neural Networks,14,71,0
965,A,Bayes,14,48,0
966,B,Linear regression,10,77,0
967,B,Linear regression,22,75,1
968,A,NLP,41,83,1
969,A,NLP,5,75,0
970,B,Linear regression,23,62,1
971,B,NLP,19,66,1
972,B,NLP,21,84,0
973,A,Gaussian Process,14,58,0
974,A,Neural Networks,39,83,1
975,B,NLP,64,100,0
976,B,Linear regression,34,96,0
977,A,NLP,22,83,1
978,B,Bayes,30,67,0
979,A,Neural Networks,26,78,0
980,B,Bayes,54,90,0
981,A,Bayes,18,66,0
982,B,NLP,13,77,1
983,A,Neural Networks,13,81,1
984,A,Linear regression,10,64,0
985,A,Linear regression,8,46,0
986,B,NLP,44,100,0
987,B,NLP,49,100,1
988,B,NLP,20,66,0
989,B,Neural Networks,11,78,0
990,A,NLP,27,91,1
991,B,Neural Networks,24,87,0
992,A,Gaussian Process,23,81,0
993,A,Neural Networks,19,68,0
994,A,Neural Networks,30,79,0
995,B,NLP,28,80,1
996,A,Neural Networks,23,66,0
997,A,NLP,21,90,1
998,A,Gaussian Process,34,87,0
999,B,NLP,21,81,0
1000,B,NLP,13,90,1
