,gender,county,ur,party_preference,age_group2,education,ethnicity,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
283,Female,Fălești,Rural,Undecided,50-59,Lower secondary education,Moldovan,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,Some confidence,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence
284,Female,Sîngerei,Rural,Victorie (Ilan Sor),20-29,Secondary vocational education,Moldovan,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence
285,Female,Drochia,Rural,PRIM (Irina Vlah),20-29,Post-secondary vocational education,Moldovan,No answer,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,No answer,No answer,No answer,Some confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
286,Female,Soroca,Rural,Undecided,50-59,Lower secondary education,Romanian,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,Some confidence
287,Female,Briceni,Rural,PAS (Igor Grosu),40-49,Primary education,Moldovan,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,No answer,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,No answer,No answer,No answer,No answer,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,No answer
288,Female,Sîngerei,Urban,PAS (Igor Grosu),60+,Post-secondary vocational education,Moldovan,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,No answer,Some confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,No answer
289,Female,Briceni,Rural,PAS (Igor Grosu),60+,Primary education,Moldovan,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer
290,Male,Dondușeni,Rural,PAS (Igor Grosu),50-59,Post-secondary vocational education,Moldovan,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence
291,Male,Ocnița,Rural,PSRM (Igor Dodon),20-29,Higher education,Moldovan,No answer,Some confidence,I have no confidence,Some confidence,No answer,No answer,No answer,No answer,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
292,Male,Drochia,Rural,Undecided,60+,Upper secondary education,Moldovan,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
293,Female,Dondușeni,Urban,Undecided,60+,Upper secondary education,Moldovan,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,No answer,No answer,I have no confidence,No answer,Some confidence,Some confidence,No answer
294,Female,Glodeni,Rural,PN (Renato Usatii),50-59,Post-secondary vocational education,Moldovan,I don't have much confidence,I don't have much confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence
295,Male,Mun. Bălți,Urban,PAS (Igor Grosu),30-39,Higher education,Moldovan,Some confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence
296,Male,Sîngerei,Rural,Undecided,50-59,Higher education,Ukrainian,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,No answer,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence
297,Female,Mun. Bălți,Urban,PAS (Igor Grosu),40-49,Higher education,Moldovan,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,Some confidence
298,Female,Florești,Rural,PVM (Vasile Tarlev),60+,Lower secondary education,Russian,No answer,Some confidence,Some confidence,No answer,No answer,No answer,No answer,No answer,I don't have much confidence,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Some confidence,No answer,Some confidence,Some confidence,No answer
299,Male,Florești,Urban,MAN (Ion Ceban),50-59,Upper secondary education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence
300,Male,Glodeni,Rural,Undecided,40-49,Post-secondary vocational education,Moldovan,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
301,Female,Sîngerei,Rural,Undecided,15-19,Primary education,Moldovan,No answer,No answer,I have no confidence,Some confidence,I don't have much confidence,No answer,No answer,No answer,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,No answer,No answer,No answer,I have no confidence,Some confidence,No answer,Some confidence,Some confidence,No answer
302,Male,Florești,Rural,Other party,60+,Primary education,Russian,No answer,No answer,I have no confidence,A lot of confidence,Some confidence,I have no confidence,No answer,Some confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
303,Male,Rîșcani,Urban,PSRM (Igor Dodon),30-39,Higher education,Moldovan,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence
304,Female,Florești,Rural,PAS (Igor Grosu),50-59,Primary education,Moldovan,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer,A lot of confidence,No answer,A lot of confidence,No answer,A lot of confidence,No answer,No answer,No answer,A lot of confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I have no confidence,No answer
305,Female,Mun. Bălți,Urban,Other party,60+,Lower secondary education,Russian,I have no confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
306,Female,Mun. Bălți,Urban,PSRM (Igor Dodon),50-59,Secondary vocational education,Russian,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence
307,Male,Edineț,Rural,PSRM (Igor Dodon),40-49,Primary education,Moldovan,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
308,Male,Fălești,Rural,PSRM (Igor Dodon),40-49,Secondary vocational education,Moldovan,I have no confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence
309,Male,Florești,Rural,Undecided,30-39,Higher education,Moldovan,No answer,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence
310,Female,Edineț,Rural,PSRM (Igor Dodon),40-49,Primary education,Moldovan,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,No answer,A lot of confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
311,Male,Mun. Bălți,Urban,Undecided,60+,Secondary vocational education,Ukrainian,Some confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence
312,Female,Glodeni,Urban,PSRM (Igor Dodon),50-59,Secondary vocational education,Moldovan,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
313,Female,Drochia,Rural,No party,40-49,Lower secondary education,Moldovan,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer
314,Female,Briceni,Urban,Undecided,60+,Post-secondary vocational education,Moldovan,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence
315,Male,Mun. Bălți,Urban,Victorie (Ilan Sor),60+,Lower secondary education,Russian,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer
316,Male,Mun. Bălți,Urban,Undecided,30-39,Secondary vocational education,Moldovan,Some confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence
317,Female,Drochia,Rural,PRIM (Irina Vlah),40-49,Lower secondary education,Moldovan,I don't have much confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence
318,Male,Mun. Bălți,Urban,PSRM (Igor Dodon),30-39,Upper secondary education,Moldovan,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence
319,Female,Soroca,Urban,No party,40-49,Secondary vocational education,Moldovan,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,No answer,No answer,I have no confidence
320,Male,Florești,Rural,PSRM (Igor Dodon),40-49,Secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence
321,Male,Briceni,Rural,PDCM (Ion Chicu),50-59,Upper secondary education,Moldovan,A lot of confidence,No answer,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
322,Male,Sîngerei,Rural,Other party,20-29,Post-secondary vocational education,Moldovan,No answer,A lot of confidence,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,No answer,Some confidence,Some confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
323,Female,Florești,Rural,PSRM (Igor Dodon),20-29,Post-secondary vocational education,Moldovan,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
324,Male,Mun. Bălți,Urban,Undecided,20-29,Primary education,Moldovan,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
325,Female,Mun. Bălți,Urban,Victorie (Ilan Sor),50-59,Upper secondary education,Moldovan,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
326,Female,Sîngerei,Rural,No party,60+,Lower secondary education,Moldovan,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,No answer,No answer,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
327,Female,Soroca,Urban,PSRM (Igor Dodon),60+,Post-secondary vocational education,Moldovan,I don't have much confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence
328,Female,Briceni,Urban,PDCM (Ion Chicu),60+,Upper secondary education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer
329,Male,Soroca,Urban,No answer,50-59,Post-secondary vocational education,Moldovan,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,No answer,No answer,No answer,No answer,No answer,No answer,I have no confidence,No answer,I have no confidence,No answer,No answer,No answer,I have no confidence,No answer
330,Female,Rîșcani,Rural,No party,50-59,Lower secondary education,Moldovan,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence
331,Male,Edineț,Rural,PSRM (Igor Dodon),50-59,Secondary vocational education,Moldovan,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence
332,Male,Florești,Rural,PSRM (Igor Dodon),50-59,Secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
333,Female,Rîșcani,Rural,PN (Renato Usatii),60+,Primary education,Moldovan,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
334,Male,Fălești,Urban,No party,50-59,Secondary vocational education,Moldovan,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
335,Male,Briceni,Rural,Undecided,40-49,Upper secondary education,Moldovan,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
336,Male,Soroca,Rural,Undecided,50-59,Post-secondary vocational education,Moldovan,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
337,Female,Edineț,Urban,No answer,30-39,Higher education,Moldovan,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence
338,Male,Mun. Bălți,Urban,PSRM (Igor Dodon),40-49,Secondary vocational education,Ukrainian,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,No answer,I don't have much confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
339,Female,Sîngerei,Rural,No party,60+,Post-secondary vocational education,Ukrainian,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
340,Female,Edineț,Urban,Undecided,20-29,Upper secondary education,Moldovan,Some confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I don't have much confidence
341,Male,Soroca,Rural,PAS (Igor Grosu),30-39,Lower secondary education,Moldovan,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I don't have much confidence
342,Male,Sîngerei,Rural,PAS (Igor Grosu),60+,Secondary vocational education,Moldovan,A lot of confidence,No answer,A lot of confidence,I have no confidence,No answer,A lot of confidence,No answer,A lot of confidence,A lot of confidence,No answer,No answer,A lot of confidence,A lot of confidence,No answer,No answer,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
343,Female,Rîșcani,Urban,PDCM (Ion Chicu),60+,Post-secondary vocational education,Ukrainian,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
344,Female,Ocnița,Rural,Undecided,60+,Lower secondary education,Moldovan,Some confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,No answer,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence
345,Female,Rîșcani,Rural,Undecided,50-59,Upper secondary education,Moldovan,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence
346,Female,Mun. Bălți,Urban,PDCM (Ion Chicu),60+,Secondary vocational education,Ukrainian,I have no confidence,A lot of confidence,No answer,I don't have much confidence,No answer,No answer,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,I have no confidence,No answer,I have no confidence,I have no confidence
347,Female,Briceni,Rural,PSRM (Igor Dodon),60+,Higher education,Moldovan,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence
348,Female,Soroca,Rural,Other party,40-49,Primary education,Moldovan,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,No answer,No answer,I have no confidence,A lot of confidence,A lot of confidence,No answer,A lot of confidence,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
349,Female,Mun. Bălți,Urban,Other party,50-59,Secondary vocational education,Moldovan,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
350,Female,Mun. Bălți,Urban,PRIM (Irina Vlah),60+,Post-secondary vocational education,Moldovan,Some confidence,Some confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,Some confidence,I have no confidence
351,Female,Glodeni,Rural,PDCM (Ion Chicu),60+,Upper secondary education,Moldovan,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence
352,Male,Dondușeni,Rural,PSRM (Igor Dodon),60+,Post-secondary vocational education,Ukrainian,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,No answer,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence
353,Male,Rîșcani,Urban,PSRM (Igor Dodon),60+,Upper secondary education,Ukrainian,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,No answer,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,No answer,No answer,No answer,Some confidence,A lot of confidence,I don't have much confidence,No answer,Some confidence,I have no confidence
