ur,gender,education,county,ethnicity,age_group,N
Rural,Male,Higher education,Soroca,Russian,70+,1
Rural,Male,Higher education,Soroca,Ukrainian,20-24,1
Rural,Male,Higher education,Soroca,Ukrainian,25-29,1
Rural,Male,Higher education,Soroca,Ukrainian,30-34,1
Rural,Male,Higher education,Soroca,Ukrainian,35-39,1
Rural,Male,Higher education,Soroca,Ukrainian,45-49,1
Rural,Male,Higher education,Soroca,Ukrainian,50-54,1
Rural,Male,Higher education,Soroca,Ukrainian,55-59,1
Rural,Male,Higher education,Soroca,Ukrainian,60-64,1
Rural,Male,Higher education,Soroca,Ukrainian,65-69,1
Rural,Male,Higher education,Soroca,Ukrainian,70+,6
Rural,Male,Higher education,Soroca,Ukrainian,<15,3
Rural,Male,Higher education,Strășeni,Moldovan,20-24,100
Rural,Male,Higher education,Strășeni,Moldovan,25-29,335
Rural,Male,Higher education,Strășeni,Moldovan,30-34,263
Rural,Male,Higher education,Strășeni,Moldovan,35-39,180
Rural,Male,Higher education,Strășeni,Moldovan,40-44,128
Rural,Male,Higher education,Strășeni,Moldovan,45-49,121
Rural,Male,Higher education,Strășeni,Moldovan,50-54,132
Rural,Male,Higher education,Strășeni,Moldovan,55-59,142
Rural,Male,Higher education,Strășeni,Moldovan,60-64,147
Rural,Male,Higher education,Strășeni,Moldovan,65-69,188
Rural,Male,Higher education,Strășeni,Moldovan,70+,197
Rural,Male,Higher education,Strășeni,Moldovan,<15,380
Rural,Male,Higher education,Strășeni,Romanian,20-24,14
Rural,Male,Higher education,Strășeni,Romanian,25-29,42
Rural,Male,Higher education,Strășeni,Romanian,30-34,35
Rural,Male,Higher education,Strășeni,Romanian,35-39,23
Rural,Male,Higher education,Strășeni,Romanian,40-44,14
Rural,Male,Higher education,Strășeni,Romanian,45-49,15
Rural,Male,Higher education,Strășeni,Romanian,50-54,17
Rural,Male,Higher education,Strășeni,Romanian,55-59,20
Rural,Male,Higher education,Strășeni,Romanian,60-64,22
Rural,Male,Higher education,Strășeni,Romanian,65-69,26
Rural,Male,Higher education,Strășeni,Romanian,70+,25
Rural,Male,Higher education,Strășeni,Romanian,<15,68
Rural,Male,Higher education,Strășeni,Russian,70+,1
Rural,Male,Higher education,Strășeni,Ukrainian,70+,1
Rural,Male,Higher education,Sîngerei,Moldovan,20-24,106
Rural,Male,Higher education,Sîngerei,Moldovan,25-29,281
Rural,Male,Higher education,Sîngerei,Moldovan,30-34,217
Rural,Male,Higher education,Sîngerei,Moldovan,35-39,167
Rural,Male,Higher education,Sîngerei,Moldovan,40-44,119
Rural,Male,Higher education,Sîngerei,Moldovan,45-49,112
Rural,Male,Higher education,Sîngerei,Moldovan,50-54,119
Rural,Male,Higher education,Sîngerei,Moldovan,55-59,114
Rural,Male,Higher education,Sîngerei,Moldovan,60-64,118
Rural,Male,Higher education,Sîngerei,Moldovan,65-69,119
Rural,Male,Higher education,Sîngerei,Moldovan,70+,189
Rural,Male,Higher education,Sîngerei,Moldovan,<15,368
Rural,Male,Higher education,Sîngerei,Romanian,20-24,5
Rural,Male,Higher education,Sîngerei,Romanian,25-29,12
Rural,Male,Higher education,Sîngerei,Romanian,30-34,11
Rural,Male,Higher education,Sîngerei,Romanian,35-39,6
Rural,Male,Higher education,Sîngerei,Romanian,40-44,5
Rural,Male,Higher education,Sîngerei,Romanian,45-49,5
Rural,Male,Higher education,Sîngerei,Romanian,50-54,5
Rural,Male,Higher education,Sîngerei,Romanian,55-59,5
Rural,Male,Higher education,Sîngerei,Romanian,60-64,5
Rural,Male,Higher education,Sîngerei,Romanian,65-69,5
Rural,Male,Higher education,Sîngerei,Romanian,70+,7
Rural,Male,Higher education,Sîngerei,Romanian,<15,22
Rural,Male,Higher education,Sîngerei,Russian,20-24,2
Rural,Male,Higher education,Sîngerei,Russian,25-29,4
Rural,Male,Higher education,Sîngerei,Russian,30-34,2
Rural,Male,Higher education,Sîngerei,Russian,35-39,2
Rural,Male,Higher education,Sîngerei,Russian,40-44,2
Rural,Male,Higher education,Sîngerei,Russian,45-49,2
Rural,Male,Higher education,Sîngerei,Russian,50-54,2
Rural,Male,Higher education,Sîngerei,Russian,55-59,2
Rural,Male,Higher education,Sîngerei,Russian,60-64,3
Rural,Male,Higher education,Sîngerei,Russian,65-69,3
Rural,Male,Higher education,Sîngerei,Russian,70+,6
Rural,Male,Higher education,Sîngerei,Russian,<15,7
Rural,Male,Higher education,Sîngerei,Ukrainian,20-24,5
Rural,Male,Higher education,Sîngerei,Ukrainian,25-29,7
Rural,Male,Higher education,Sîngerei,Ukrainian,30-34,5
Rural,Male,Higher education,Sîngerei,Ukrainian,35-39,5
Rural,Male,Higher education,Sîngerei,Ukrainian,40-44,4
Rural,Male,Higher education,Sîngerei,Ukrainian,45-49,4
Rural,Male,Higher education,Sîngerei,Ukrainian,50-54,5
Rural,Male,Higher education,Sîngerei,Ukrainian,55-59,5
Rural,Male,Higher education,Sîngerei,Ukrainian,60-64,6
Rural,Male,Higher education,Sîngerei,Ukrainian,65-69,5
Rural,Male,Higher education,Sîngerei,Ukrainian,70+,19
Rural,Male,Higher education,Sîngerei,Ukrainian,<15,11
Rural,Male,Higher education,Taraclia,Bulgarian,20-24,18
Rural,Male,Higher education,Taraclia,Bulgarian,25-29,42
Rural,Male,Higher education,Taraclia,Bulgarian,30-34,39
Rural,Male,Higher education,Taraclia,Bulgarian,35-39,27
Rural,Male,Higher education,Taraclia,Bulgarian,40-44,17
Rural,Male,Higher education,Taraclia,Bulgarian,45-49,17
Rural,Male,Higher education,Taraclia,Bulgarian,50-54,20
Rural,Male,Higher education,Taraclia,Bulgarian,55-59,23
Rural,Male,Higher education,Taraclia,Bulgarian,60-64,26
Rural,Male,Higher education,Taraclia,Bulgarian,65-69,22
Rural,Male,Higher education,Taraclia,Bulgarian,70+,30
Rural,Male,Higher education,Taraclia,Bulgarian,<15,49
Rural,Male,Higher education,Taraclia,Gagauz,20-24,7
Rural,Male,Higher education,Taraclia,Gagauz,25-29,16
Rural,Male,Higher education,Taraclia,Gagauz,30-34,14
Rural,Male,Higher education,Taraclia,Gagauz,35-39,10
Rural,Male,Higher education,Taraclia,Gagauz,40-44,7
Rural,Male,Higher education,Taraclia,Gagauz,45-49,7
Rural,Male,Higher education,Taraclia,Gagauz,50-54,8
Rural,Male,Higher education,Taraclia,Gagauz,55-59,10
Rural,Male,Higher education,Taraclia,Gagauz,60-64,12
Rural,Male,Higher education,Taraclia,Gagauz,65-69,11
Rural,Male,Higher education,Taraclia,Gagauz,70+,13
Rural,Male,Higher education,Taraclia,Gagauz,<15,25
Rural,Male,Higher education,Taraclia,Moldovan,20-24,11
Rural,Male,Higher education,Taraclia,Moldovan,25-29,30
Rural,Male,Higher education,Taraclia,Moldovan,30-34,25
Rural,Male,Higher education,Taraclia,Moldovan,35-39,20
Rural,Male,Higher education,Taraclia,Moldovan,40-44,12
Rural,Male,Higher education,Taraclia,Moldovan,45-49,12
Rural,Male,Higher education,Taraclia,Moldovan,50-54,12
Rural,Male,Higher education,Taraclia,Moldovan,55-59,13
Rural,Male,Higher education,Taraclia,Moldovan,60-64,15
Rural,Male,Higher education,Taraclia,Moldovan,65-69,18
Rural,Male,Higher education,Taraclia,Moldovan,70+,28
Rural,Male,Higher education,Taraclia,Moldovan,<15,29
Rural,Male,Higher education,Taraclia,Russian,20-24,2
Rural,Male,Higher education,Taraclia,Russian,25-29,3
Rural,Male,Higher education,Taraclia,Russian,30-34,2
Rural,Male,Higher education,Taraclia,Russian,35-39,2
Rural,Male,Higher education,Taraclia,Russian,40-44,2
Rural,Male,Higher education,Taraclia,Russian,45-49,2
Rural,Male,Higher education,Taraclia,Russian,50-54,2
Rural,Male,Higher education,Taraclia,Russian,55-59,2
Rural,Male,Higher education,Taraclia,Russian,60-64,3
Rural,Male,Higher education,Taraclia,Russian,65-69,3
Rural,Male,Higher education,Taraclia,Russian,70+,5
Rural,Male,Higher education,Taraclia,Russian,<15,4
Rural,Male,Higher education,Taraclia,Ukrainian,20-24,2
Rural,Male,Higher education,Taraclia,Ukrainian,25-29,3
Rural,Male,Higher education,Taraclia,Ukrainian,30-34,2
Rural,Male,Higher education,Taraclia,Ukrainian,35-39,2
Rural,Male,Higher education,Taraclia,Ukrainian,40-44,2
Rural,Male,Higher education,Taraclia,Ukrainian,45-49,2
Rural,Male,Higher education,Taraclia,Ukrainian,50-54,2
Rural,Male,Higher education,Taraclia,Ukrainian,55-59,2
Rural,Male,Higher education,Taraclia,Ukrainian,60-64,4
Rural,Male,Higher education,Taraclia,Ukrainian,65-69,4
Rural,Male,Higher education,Taraclia,Ukrainian,70+,8
Rural,Male,Higher education,Taraclia,Ukrainian,<15,5
Rural,Male,Higher education,Telenești,Moldovan,20-24,105
Rural,Male,Higher education,Telenești,Moldovan,25-29,263
Rural,Male,Higher education,Telenești,Moldovan,30-34,197
Rural,Male,Higher education,Telenești,Moldovan,35-39,146
Rural,Male,Higher education,Telenești,Moldovan,40-44,112
Rural,Male,Higher education,Telenești,Moldovan,45-49,118
Rural,Male,Higher education,Telenești,Moldovan,50-54,120
Rural,Male,Higher education,Telenești,Moldovan,55-59,118
Rural,Male,Higher education,Telenești,Moldovan,60-64,119
Rural,Male,Higher education,Telenești,Moldovan,65-69,145
Rural,Male,Higher education,Telenești,Moldovan,70+,195
Rural,Male,Higher education,Telenești,Moldovan,<15,329
Rural,Male,Higher education,Telenești,Romanian,20-24,10
Rural,Male,Higher education,Telenești,Romanian,25-29,22
Rural,Male,Higher education,Telenești,Romanian,30-34,19
Rural,Male,Higher education,Telenești,Romanian,35-39,12
Rural,Male,Higher education,Telenești,Romanian,40-44,8
Rural,Male,Higher education,Telenești,Romanian,45-49,9
Rural,Male,Higher education,Telenești,Romanian,50-54,9
Rural,Male,Higher education,Telenești,Romanian,55-59,10
Rural,Male,Higher education,Telenești,Romanian,60-64,11
Rural,Male,Higher education,Telenești,Romanian,65-69,14
Rural,Male,Higher education,Telenești,Romanian,70+,14
Rural,Male,Higher education,Telenești,Romanian,<15,40
Rural,Male,Higher education,Telenești,Ukrainian,70+,1
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,20-24,7
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,25-29,16
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,30-34,14
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,35-39,9
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,40-44,7
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,45-49,7
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,50-54,7
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,55-59,9
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,60-64,10
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,65-69,8
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,70+,10
Rural,Male,Higher education,UTA Găgăuzia,Bulgarian,<15,18
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,15-19,1
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,20-24,162
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,25-29,353
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,30-34,281
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,35-39,178
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,40-44,127
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,45-49,139
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,50-54,175
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,55-59,193
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,60-64,187
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,65-69,152
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,70+,198
Rural,Male,Higher education,UTA Găgăuzia,Gagauz,<15,503
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,20-24,5
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,25-29,13
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,30-34,9
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,35-39,7
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,40-44,5
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,45-49,5
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,50-54,6
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,55-59,6
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,60-64,7
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,65-69,8
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,70+,10
Rural,Male,Higher education,UTA Găgăuzia,Moldovan,<15,10
Rural,Male,Higher education,UTA Găgăuzia,Other,25-29,1
Rural,Male,Higher education,UTA Găgăuzia,Other,<15,1
Rural,Male,Higher education,UTA Găgăuzia,Russian,20-24,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,25-29,3
Rural,Male,Higher education,UTA Găgăuzia,Russian,30-34,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,35-39,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,40-44,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,45-49,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,50-54,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,55-59,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,60-64,2
Rural,Male,Higher education,UTA Găgăuzia,Russian,65-69,3
Rural,Male,Higher education,UTA Găgăuzia,Russian,70+,4
Rural,Male,Higher education,UTA Găgăuzia,Russian,<15,4
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,20-24,1
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,25-29,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,30-34,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,35-39,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,40-44,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,45-49,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,50-54,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,55-59,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,60-64,2
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,65-69,1
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,70+,4
Rural,Male,Higher education,UTA Găgăuzia,Ukrainian,<15,3
Rural,Male,Higher education,Ungheni,Moldovan,20-24,127
Rural,Male,Higher education,Ungheni,Moldovan,25-29,351
Rural,Male,Higher education,Ungheni,Moldovan,30-34,271
Rural,Male,Higher education,Ungheni,Moldovan,35-39,204
Rural,Male,Higher education,Ungheni,Moldovan,40-44,144
Rural,Male,Higher education,Ungheni,Moldovan,45-49,134
Rural,Male,Higher education,Ungheni,Moldovan,50-54,126
Rural,Male,Higher education,Ungheni,Moldovan,55-59,133
Rural,Male,Higher education,Ungheni,Moldovan,60-64,144
Rural,Male,Higher education,Ungheni,Moldovan,65-69,187
Rural,Male,Higher education,Ungheni,Moldovan,70+,265
Rural,Male,Higher education,Ungheni,Moldovan,<15,430
Rural,Male,Higher education,Ungheni,Romanian,20-24,6
Rural,Male,Higher education,Ungheni,Romanian,25-29,18
Rural,Male,Higher education,Ungheni,Romanian,30-34,14
Rural,Male,Higher education,Ungheni,Romanian,35-39,10
Rural,Male,Higher education,Ungheni,Romanian,40-44,6
Rural,Male,Higher education,Ungheni,Romanian,45-49,6
Rural,Male,Higher education,Ungheni,Romanian,50-54,6
Rural,Male,Higher education,Ungheni,Romanian,55-59,7
Rural,Male,Higher education,Ungheni,Romanian,60-64,9
Rural,Male,Higher education,Ungheni,Romanian,65-69,11
Rural,Male,Higher education,Ungheni,Romanian,70+,12
Rural,Male,Higher education,Ungheni,Romanian,<15,29
Rural,Male,Higher education,Ungheni,Russian,25-29,1
Rural,Male,Higher education,Ungheni,Russian,60-64,1
Rural,Male,Higher education,Ungheni,Russian,65-69,1
Rural,Male,Higher education,Ungheni,Russian,70+,1
Rural,Male,Higher education,Ungheni,Russian,<15,2
Rural,Male,Higher education,Ungheni,Ukrainian,20-24,2
Rural,Male,Higher education,Ungheni,Ukrainian,25-29,5
Rural,Male,Higher education,Ungheni,Ukrainian,30-34,4
Rural,Male,Higher education,Ungheni,Ukrainian,35-39,4
Rural,Male,Higher education,Ungheni,Ukrainian,40-44,4
Rural,Male,Higher education,Ungheni,Ukrainian,45-49,4
Rural,Male,Higher education,Ungheni,Ukrainian,50-54,4
Rural,Male,Higher education,Ungheni,Ukrainian,55-59,4
Rural,Male,Higher education,Ungheni,Ukrainian,60-64,4
Rural,Male,Higher education,Ungheni,Ukrainian,65-69,4
Rural,Male,Higher education,Ungheni,Ukrainian,70+,16
Rural,Male,Higher education,Ungheni,Ukrainian,<15,6
Rural,Male,Higher education,Șoldănești,Moldovan,20-24,54
Rural,Male,Higher education,Șoldănești,Moldovan,25-29,135
Rural,Male,Higher education,Șoldănești,Moldovan,30-34,111
Rural,Male,Higher education,Șoldănești,Moldovan,35-39,85
Rural,Male,Higher education,Șoldănești,Moldovan,40-44,74
Rural,Male,Higher education,Șoldănești,Moldovan,45-49,68
Rural,Male,Higher education,Șoldănești,Moldovan,50-54,69
Rural,Male,Higher education,Șoldănești,Moldovan,55-59,59
Rural,Male,Higher education,Șoldănești,Moldovan,60-64,60
Rural,Male,Higher education,Șoldănești,Moldovan,65-69,89
Rural,Male,Higher education,Șoldănești,Moldovan,70+,135
Rural,Male,Higher education,Șoldănești,Moldovan,<15,186
Rural,Male,Higher education,Șoldănești,Romanian,20-24,3
Rural,Male,Higher education,Șoldănești,Romanian,25-29,5
Rural,Male,Higher education,Șoldănești,Romanian,30-34,5
Rural,Male,Higher education,Șoldănești,Romanian,35-39,4
Rural,Male,Higher education,Șoldănești,Romanian,40-44,3
Rural,Male,Higher education,Șoldănești,Romanian,45-49,3
Rural,Male,Higher education,Șoldănești,Romanian,50-54,3
Rural,Male,Higher education,Șoldănești,Romanian,55-59,2
Rural,Male,Higher education,Șoldănești,Romanian,60-64,3
Rural,Male,Higher education,Șoldănești,Romanian,65-69,4
Rural,Male,Higher education,Șoldănești,Romanian,70+,4
Rural,Male,Higher education,Șoldănești,Romanian,<15,9
Rural,Male,Higher education,Șoldănești,Ukrainian,65-69,1
Rural,Male,Higher education,Șoldănești,Ukrainian,70+,2
Rural,Male,Higher education,Ștefan Vodă,Moldovan,20-24,101
Rural,Male,Higher education,Ștefan Vodă,Moldovan,25-29,297
Rural,Male,Higher education,Ștefan Vodă,Moldovan,30-34,241
Rural,Male,Higher education,Ștefan Vodă,Moldovan,35-39,168
Rural,Male,Higher education,Ștefan Vodă,Moldovan,40-44,125
Rural,Male,Higher education,Ștefan Vodă,Moldovan,45-49,111
Rural,Male,Higher education,Ștefan Vodă,Moldovan,50-54,129
Rural,Male,Higher education,Ștefan Vodă,Moldovan,55-59,131
Rural,Male,Higher education,Ștefan Vodă,Moldovan,60-64,146
Rural,Male,Higher education,Ștefan Vodă,Moldovan,65-69,187
Rural,Male,Higher education,Ștefan Vodă,Moldovan,70+,213
Rural,Male,Higher education,Ștefan Vodă,Moldovan,<15,348
Rural,Male,Higher education,Ștefan Vodă,Roma,25-29,1
Rural,Male,Higher education,Ștefan Vodă,Roma,70+,1
Rural,Male,Higher education,Ștefan Vodă,Romanian,20-24,6
Rural,Male,Higher education,Ștefan Vodă,Romanian,25-29,14
Rural,Male,Higher education,Ștefan Vodă,Romanian,30-34,13
Rural,Male,Higher education,Ștefan Vodă,Romanian,35-39,8
Rural,Male,Higher education,Ștefan Vodă,Romanian,40-44,6
Rural,Male,Higher education,Ștefan Vodă,Romanian,45-49,6
Rural,Male,Higher education,Ștefan Vodă,Romanian,50-54,6
Rural,Male,Higher education,Ștefan Vodă,Romanian,55-59,7
Rural,Male,Higher education,Ștefan Vodă,Romanian,60-64,8
Rural,Male,Higher education,Ștefan Vodă,Romanian,65-69,10
Rural,Male,Higher education,Ștefan Vodă,Romanian,70+,9
Rural,Male,Higher education,Ștefan Vodă,Romanian,<15,25
Rural,Male,Higher education,Ștefan Vodă,Russian,20-24,1
Rural,Male,Higher education,Ștefan Vodă,Russian,25-29,2
Rural,Male,Higher education,Ștefan Vodă,Russian,30-34,2
Rural,Male,Higher education,Ștefan Vodă,Russian,35-39,1
Rural,Male,Higher education,Ștefan Vodă,Russian,40-44,1
Rural,Male,Higher education,Ștefan Vodă,Russian,45-49,1
Rural,Male,Higher education,Ștefan Vodă,Russian,50-54,1
Rural,Male,Higher education,Ștefan Vodă,Russian,55-59,1
Rural,Male,Higher education,Ștefan Vodă,Russian,60-64,2
Rural,Male,Higher education,Ștefan Vodă,Russian,65-69,1
Rural,Male,Higher education,Ștefan Vodă,Russian,70+,4
Rural,Male,Higher education,Ștefan Vodă,Russian,<15,2
Rural,Male,Higher education,Ștefan Vodă,Ukrainian,25-29,1
Rural,Male,Higher education,Ștefan Vodă,Ukrainian,60-64,1
Rural,Male,Higher education,Ștefan Vodă,Ukrainian,65-69,2
Rural,Male,Higher education,Ștefan Vodă,Ukrainian,70+,4
Rural,Male,Higher education,Ștefan Vodă,Ukrainian,<15,3
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,15-19,4
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,20-24,2
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,25-29,3
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,30-34,3
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,35-39,2
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,40-44,2
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,45-49,2
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,50-54,2
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,55-59,2
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,60-64,2
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,65-69,1
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,70+,1
Rural,Male,Lower secondary education,Anenii Noi,Bulgarian,<15,6
Rural,Male,Lower secondary education,Anenii Noi,Gagauz,15-19,1
Rural,Male,Lower secondary education,Anenii Noi,Gagauz,25-29,1
Rural,Male,Lower secondary education,Anenii Noi,Gagauz,30-34,1
Rural,Male,Lower secondary education,Anenii Noi,Gagauz,<15,2
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,15-19,897
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,20-24,481
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,25-29,743
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,30-34,778
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,35-39,647
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,40-44,414
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,45-49,325
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,50-54,364
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,55-59,438
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,60-64,503
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,65-69,484
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,70+,498
Rural,Male,Lower secondary education,Anenii Noi,Moldovan,<15,1751
Rural,Male,Lower secondary education,Anenii Noi,Other,15-19,1
Rural,Male,Lower secondary education,Anenii Noi,Other,25-29,1
Rural,Male,Lower secondary education,Anenii Noi,Other,30-34,1
Rural,Male,Lower secondary education,Anenii Noi,Other,35-39,1
Rural,Male,Lower secondary education,Anenii Noi,Other,65-69,1
Rural,Male,Lower secondary education,Anenii Noi,Other,70+,1
Rural,Male,Lower secondary education,Anenii Noi,Other,<15,3
Rural,Male,Lower secondary education,Anenii Noi,Romanian,15-19,81
Rural,Male,Lower secondary education,Anenii Noi,Romanian,20-24,49
Rural,Male,Lower secondary education,Anenii Noi,Romanian,25-29,96
Rural,Male,Lower secondary education,Anenii Noi,Romanian,30-34,103
Rural,Male,Lower secondary education,Anenii Noi,Romanian,35-39,73
Rural,Male,Lower secondary education,Anenii Noi,Romanian,40-44,42
Rural,Male,Lower secondary education,Anenii Noi,Romanian,45-49,37
Rural,Male,Lower secondary education,Anenii Noi,Romanian,50-54,40
Rural,Male,Lower secondary education,Anenii Noi,Romanian,55-59,46
Rural,Male,Lower secondary education,Anenii Noi,Romanian,60-64,48
Rural,Male,Lower secondary education,Anenii Noi,Romanian,65-69,57
Rural,Male,Lower secondary education,Anenii Noi,Romanian,70+,58
Rural,Male,Lower secondary education,Anenii Noi,Romanian,<15,241
Rural,Male,Lower secondary education,Anenii Noi,Russian,15-19,13
Rural,Male,Lower secondary education,Anenii Noi,Russian,20-24,6
Rural,Male,Lower secondary education,Anenii Noi,Russian,25-29,10
Rural,Male,Lower secondary education,Anenii Noi,Russian,30-34,10
Rural,Male,Lower secondary education,Anenii Noi,Russian,35-39,8
Rural,Male,Lower secondary education,Anenii Noi,Russian,40-44,6
Rural,Male,Lower secondary education,Anenii Noi,Russian,45-49,6
Rural,Male,Lower secondary education,Anenii Noi,Russian,50-54,6
Rural,Male,Lower secondary education,Anenii Noi,Russian,55-59,8
Rural,Male,Lower secondary education,Anenii Noi,Russian,60-64,10
Rural,Male,Lower secondary education,Anenii Noi,Russian,65-69,9
Rural,Male,Lower secondary education,Anenii Noi,Russian,70+,15
Rural,Male,Lower secondary education,Anenii Noi,Russian,<15,28
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,15-19,17
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,20-24,8
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,25-29,11
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,30-34,11
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,35-39,11
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,40-44,8
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,45-49,7
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,50-54,8
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,55-59,9
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,60-64,11
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,65-69,12
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,70+,25
Rural,Male,Lower secondary education,Anenii Noi,Ukrainian,<15,30
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,15-19,2
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,20-24,1
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,25-29,3
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,30-34,3
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,35-39,3
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,60-64,1
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,70+,2
Rural,Male,Lower secondary education,Basarabeasca,Bulgarian,<15,4
Rural,Male,Lower secondary education,Basarabeasca,Gagauz,<15,2
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,15-19,169
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,20-24,105
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,25-29,163
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,30-34,143
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,35-39,115
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,40-44,81
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,45-49,66
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,50-54,75
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,55-59,85
Rural,Male,Lower secondary education,Basarabeasca,Moldovan,60-64,101
