,age_group,education,gender,nationality,electoral_district,unit,urban_rural,N
1037,25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,4
1038,25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,6
1039,25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,7
1040,25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,13
1041,25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,1
1042,25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,2
1043,25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,4
1044,35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,773
1045,35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,709
1046,35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,175
1047,35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,1174
1048,35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,2052
1049,35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,248
1050,35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,754
1051,35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,836
1052,35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,186
1053,35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,1140
1054,35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,619
1055,35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,427
1056,35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,1293
1057,35-44,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,924
1058,35-44,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,Tallinn,403
1059,35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,822
1060,35-44,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,916
1061,35-44,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,Tallinn,204
1062,35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,313
1063,35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,438
1064,35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,74
1065,35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,1120
1066,35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,1312
1067,35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,348
1068,35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,1252
1069,35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,2392
1070,35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,1488
1071,35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,991
1072,35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,1510
1073,35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,1539
1074,35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Urban,381
1075,35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Rural,1088
1076,35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,Small town,420
1077,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,Rural,266
1078,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,Rural,79
1079,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,Rural,144
1080,35-44,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Urban,609
1081,35-44,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Rural,113
1082,35-44,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Small town,1
1083,35-44,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Urban,183
1084,35-44,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Rural,36
1085,35-44,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Urban,222
1086,35-44,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Rural,83
1087,35-44,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,Small town,2
1088,35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,506
1089,35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,194
1090,35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,133
1091,35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,54
1092,35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,359
1093,35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,105
1094,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Urban,270
1095,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Rural,384
1096,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Small town,248
1097,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Urban,63
1098,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Rural,85
1099,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Small town,49
1100,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Urban,120
1101,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Rural,356
1102,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,Small town,108
1103,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,280
1104,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,195
1105,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,25
1106,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,114
1107,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,67
1108,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,3
1109,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,158
1110,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,149
1111,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,14
1112,35-44,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Urban,453
1113,35-44,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Rural,956
1114,35-44,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Small town,248
1115,35-44,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Urban,151
1116,35-44,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Rural,259
1117,35-44,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Small town,75
1118,35-44,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Urban,211
1119,35-44,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Rural,619
1120,35-44,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,Small town,155
1121,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,483
1122,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,211
1123,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,137
1124,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,64
1125,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,321
1126,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,164
1127,35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,Urban,1454
1128,35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,Rural,842
1129,35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,Small town,220
1130,35-44,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,Urban,502
1131,35-44,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,Rural,212
1132,35-44,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,Small town,87
1133,35-44,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,Urban,700
1134,35-44,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,Rural,591
1135,35-44,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,Small town,195
1136,35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Rural,846
1137,35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Small town,247
1138,35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Rural,276
1139,35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Small town,67
1140,35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Rural,560
1141,35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,Small town,98
1142,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,408
1143,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,470
1144,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,205
1145,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,153
1146,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,277
1147,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,314
1148,35-44,Secondary education,Male,Estonian,Tartu linn,Tartu linn,Urban,2291
1149,35-44,Secondary education,Male,Estonian,Tartu linn,Tartu linn,Rural,33
1150,35-44,Secondary education,Male,Estonian,Tartu linn,Tartu linn,Small town,8
1151,35-44,Higher education,Male,Estonian,Tartu linn,Tartu linn,Urban,2228
1152,35-44,Higher education,Male,Estonian,Tartu linn,Tartu linn,Rural,4
1153,35-44,Basic education,Male,Estonian,Tartu linn,Tartu linn,Urban,969
1154,35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Rural,1955
1155,35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Small town,183
1156,35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Rural,1001
1157,35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Small town,163
1158,35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Rural,988
1159,35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,Small town,55
1160,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,265
1161,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,326
1162,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,82
1163,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,86
1164,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,167
1165,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,169
1166,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Urban,481
1167,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Rural,724
1168,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Small town,57
1169,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Urban,203
1170,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Rural,147
1171,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Small town,23
1172,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Urban,326
1173,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Rural,537
1174,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,Small town,30
1175,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,391
1176,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,582
1177,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,43
1178,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,99
1179,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,190
1180,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,8
1181,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,174
1182,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,352
1183,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,25
1184,35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,462
1185,35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,499
1186,35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,86
1187,35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,238
1188,35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,370
1189,35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,Tallinn,36
1190,35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,121
1191,35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,144
1192,35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,Tallinn,30
1193,35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,1820
1194,35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,1270
1195,35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,Tallinn,399
1196,35-44,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,Tallinn,519
1197,35-44,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,Tallinn,403
1198,35-44,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,Tallinn,109
1199,35-44,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,Tallinn,77
1200,35-44,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,Tallinn,58
1201,35-44,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,Tallinn,24
1202,35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,74
1203,35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,178
1204,35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,Tallinn,8
1205,35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,444
1206,35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,246
1207,35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,Tallinn,152
1208,35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,Urban,166
1209,35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,Rural,317
1210,35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,Small town,197
1211,35-44,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,Urban,144
1212,35-44,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,Rural,220
1213,35-44,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,Small town,224
1214,35-44,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,Urban,37
1215,35-44,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,Rural,107
1216,35-44,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,Small town,41
1217,35-44,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,Urban,1388
1218,35-44,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,Rural,258
1219,35-44,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,Small town,3
1220,35-44,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,Urban,603
1221,35-44,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,Rural,118
1222,35-44,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,Urban,295
1223,35-44,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,Rural,111
1224,35-44,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,Small town,2
1225,35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,32
1226,35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,12
1227,35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,6
1228,35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,2
1229,35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Rural,31
1230,35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,Small town,9
1231,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Urban,5
1232,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Rural,7
1233,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Small town,5
1234,35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Urban,2
1235,35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Rural,3
1236,35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Small town,2
1237,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Urban,5
1238,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Rural,13
1239,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,Small town,4
1240,35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,17
1241,35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,12
1242,35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,2
1243,35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,4
1244,35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,3
1245,35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Urban,9
1246,35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Rural,9
1247,35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,Small town,1
1248,35-44,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Urban,23
1249,35-44,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Rural,48
1250,35-44,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Small town,13
1251,35-44,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Urban,5
1252,35-44,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Rural,9
1253,35-44,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Small town,3
1254,35-44,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Urban,13
1255,35-44,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Rural,40
1256,35-44,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,Small town,10
1257,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,13
1258,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,6
1259,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,3
1260,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,1
1261,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Rural,9
1262,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,Small town,5
1263,35-44,Secondary education,Male,Other,Pärnumaa,Pärnumaa,Urban,80
1264,35-44,Secondary education,Male,Other,Pärnumaa,Pärnumaa,Rural,47
1265,35-44,Secondary education,Male,Other,Pärnumaa,Pärnumaa,Small town,12
1266,35-44,Higher education,Male,Other,Pärnumaa,Pärnumaa,Urban,21
1267,35-44,Higher education,Male,Other,Pärnumaa,Pärnumaa,Rural,9
1268,35-44,Higher education,Male,Other,Pärnumaa,Pärnumaa,Small town,4
1269,35-44,Basic education,Male,Other,Pärnumaa,Pärnumaa,Urban,24
1270,35-44,Basic education,Male,Other,Pärnumaa,Pärnumaa,Rural,20
1271,35-44,Basic education,Male,Other,Pärnumaa,Pärnumaa,Small town,7
1272,35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,Rural,25
1273,35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,Small town,7
1274,35-44,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,Rural,6
1275,35-44,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,Small town,1
1276,35-44,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,Rural,14
1277,35-44,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,Small town,2
1278,35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,3
1279,35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,3
1280,35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Urban,2
1281,35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,1
1282,35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,Rural,1
1283,35-44,Secondary education,Male,Other,Tartu linn,Tartu linn,Urban,386
1284,35-44,Secondary education,Male,Other,Tartu linn,Tartu linn,Rural,6
1285,35-44,Secondary education,Male,Other,Tartu linn,Tartu linn,Small town,1
1286,35-44,Higher education,Male,Other,Tartu linn,Tartu linn,Urban,194
1287,35-44,Basic education,Male,Other,Tartu linn,Tartu linn,Urban,172
1288,35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Rural,120
1289,35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Small town,11
1290,35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Rural,40
1291,35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Small town,7
1292,35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Rural,70
1293,35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,Small town,4
1294,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,22
1295,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,28
1296,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,5
1297,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,6
1298,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Urban,19
1299,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,Rural,20
1300,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Urban,9
1301,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Rural,14
1302,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Small town,1
1303,35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Urban,3
1304,35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Rural,2
1305,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Urban,10
1306,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Rural,17
1307,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,Small town,1
1308,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,11
1309,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,16
1310,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Small town,1
1311,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,2
1312,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,4
1313,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Urban,3
1314,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,Rural,6
1315,35-44,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,518
1316,35-44,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,1022
1317,35-44,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,Tallinn,87
