ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
396,25-34,M,Professional certificate/ diploma,UK,White,23,44,45,38,53,0.52975,0.40148,CL6,CL2,CL1,CL0,CL6,CL1,CL6,CL2,CL1,CL3,CL0,CL2,CL0,CL2,CL1,CL2,CL5,CL0,CL1
397,35-44,M,University degree,UK,White,38,48,43,33,36,1.86203,1.2247,CL6,CL1,CL1,CL1,CL4,CL2,CL5,CL3,CL0,CL3,CL0,CL0,CL3,CL1,CL0,CL1,CL5,CL0,CL0
398,35-44,F,University degree,UK,White,20,44,39,41,46,-0.21712,-0.52593,CL6,CL0,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
399,45-54,M,Professional certificate/ diploma,UK,White,37,43,40,33,45,1.29221,1.2247,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
400,25-34,F,Masters degree,UK,White,28,42,48,34,48,0.88113,-0.52593,CL6,CL0,CL0,CL0,CL6,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL1
401,45-54,M,Masters degree,UK,White,27,48,55,49,46,-0.71126,-1.18084,CL1,CL1,CL1,CL0,CL5,CL1,CL6,CL1,CL0,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL4,CL0,CL1
402,25-34,F,Left school at 18 years,UK,White,34,39,32,47,47,-0.71126,-0.84637,CL4,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
403,45-54,M,Left school at 16 years,UK,White,37,32,43,32,37,1.86203,1.2247,CL5,CL2,CL2,CL0,CL6,CL6,CL6,CL2,CL0,CL2,CL0,CL2,CL2,CL2,CL0,CL2,CL6,CL0,CL0
404,18-24,M,"Some college or university, no certificate or degree",UK,White,27,35,44,39,32,0.52975,0.40148,CL5,CL0,CL0,CL0,CL5,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
405,18-24,M,University degree,UK,White,23,44,44,38,39,-1.37983,-0.52593,CL5,CL0,CL0,CL2,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
406,45-54,M,Left school at 17 years,UK,White,45,39,45,42,44,0.88113,0.07987,CL3,CL1,CL1,CL1,CL6,CL6,CL6,CL2,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL1
407,18-24,F,Left school before 16 years,UK,White,37,50,57,51,42,1.29221,0.7654,CL5,CL3,CL2,CL3,CL6,CL5,CL6,CL0,CL0,CL3,CL0,CL0,CL4,CL0,CL0,CL3,CL6,CL0,CL0
408,45-54,F,University degree,UK,White,53,33,56,43,39,0.19268,0.40148,CL3,CL1,CL0,CL0,CL6,CL6,CL6,CL1,CL0,CL2,CL0,CL0,CL3,CL0,CL0,CL1,CL6,CL0,CL0
409,35-44,M,Left school at 17 years,UK,Other,49,39,44,41,37,-0.21712,0.07987,CL6,CL1,CL1,CL2,CL6,CL6,CL2,CL1,CL1,CL2,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
410,25-34,M,University degree,UK,White,29,41,50,44,40,0.19268,-1.54858,CL3,CL1,CL1,CL1,CL6,CL6,CL6,CL1,CL0,CL1,CL0,CL2,CL2,CL1,CL6,CL1,CL6,CL0,CL1
411,35-44,F,Professional certificate/ diploma,USA,White,22,45,51,45,46,-0.21712,0.40148,CL1,CL1,CL0,CL2,CL6,CL6,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL6,CL0,CL0
412,45-54,M,Left school at 18 years,UK,White,46,30,49,49,31,0.88113,0.40148,CL5,CL2,CL0,CL3,CL6,CL6,CL6,CL1,CL0,CL2,CL1,CL2,CL2,CL1,CL6,CL2,CL2,CL0,CL1
413,35-44,F,"Some college or university, no certificate or degree",Other,White,31,29,48,44,29,-0.21712,-0.84637,CL3,CL0,CL0,CL1,CL3,CL1,CL6,CL1,CL1,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL0
414,25-34,F,University degree,UK,White,37,47,39,46,40,-0.71126,-0.52593,CL6,CL0,CL0,CL0,CL3,CL2,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
415,35-44,M,"Some college or university, no certificate or degree",UK,White,36,39,51,44,39,-0.21712,-0.21575,CL5,CL2,CL2,CL2,CL6,CL6,CL5,CL3,CL0,CL2,CL0,CL2,CL2,CL2,CL0,CL2,CL6,CL0,CL0
416,35-44,F,"Some college or university, no certificate or degree",UK,White,20,42,38,42,37,0.19268,-0.21575,CL6,CL0,CL0,CL0,CL6,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
417,18-24,M,Left school at 18 years,UK,White,30,32,42,29,56,-0.21712,0.7654,CL6,CL3,CL3,CL0,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL5,CL4,CL3,CL0,CL3,CL5,CL0,CL0
418,18-24,M,"Some college or university, no certificate or degree",UK,White,35,35,48,28,32,0.19268,0.7654,CL5,CL0,CL3,CL3,CL6,CL6,CL5,CL5,CL0,CL3,CL0,CL4,CL3,CL0,CL0,CL2,CL6,CL0,CL0
419,25-34,M,"Some college or university, no certificate or degree",UK,White,28,46,47,36,37,1.29221,1.92173,CL5,CL2,CL2,CL0,CL5,CL2,CL4,CL2,CL2,CL2,CL0,CL0,CL0,CL2,CL0,CL2,CL2,CL0,CL2
420,25-34,F,Doctorate degree,UK,White,39,40,53,40,45,-0.21712,-0.21575,CL6,CL0,CL3,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0
421,25-34,M,University degree,UK,White,42,41,45,41,43,0.19268,-0.52593,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
422,18-24,M,Left school at 18 years,UK,White,39,45,46,37,49,0.52975,0.7654,CL4,CL3,CL0,CL0,CL6,CL6,CL4,CL0,CL0,CL3,CL0,CL3,CL0,CL0,CL0,CL0,CL5,CL0,CL0
423,25-34,M,"Some college or university, no certificate or degree",UK,White,39,27,36,41,39,0.52975,-0.84637,CL5,CL2,CL2,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
424,35-44,M,Professional certificate/ diploma,UK,White,28,39,46,54,37,-0.21712,-1.18084,CL4,CL1,CL1,CL3,CL6,CL6,CL6,CL1,CL0,CL1,CL0,CL0,CL2,CL1,CL1,CL1,CL6,CL0,CL1
425,35-44,F,University degree,UK,Mixed-White/Asian,26,45,41,51,48,-0.21712,-0.84637,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
426,45-54,F,Doctorate degree,USA,White,41,40,56,49,42,1.29221,0.40148,CL3,CL1,CL1,CL1,CL6,CL6,CL6,CL1,CL1,CL2,CL1,CL0,CL2,CL2,CL1,CL2,CL1,CL0,CL1
427,35-44,M,University degree,UK,White,32,38,47,41,29,-0.21712,-0.84637,CL6,CL2,CL3,CL0,CL6,CL5,CL5,CL1,CL0,CL3,CL0,CL0,CL3,CL1,CL0,CL2,CL5,CL0,CL0
428,45-54,M,Left school at 16 years,UK,White,38,40,44,42,42,0.52975,-0.21575,CL5,CL1,CL0,CL3,CL5,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0
429,35-44,M,University degree,Other,White,42,34,45,34,41,0.88113,0.07987,CL6,CL1,CL1,CL1,CL6,CL6,CL5,CL3,CL0,CL3,CL0,CL1,CL3,CL3,CL0,CL4,CL0,CL0,CL2
430,25-34,F,Left school at 18 years,UK,White,27,39,31,45,47,-1.37983,-1.54858,CL5,CL0,CL0,CL3,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
431,25-34,M,Left school before 16 years,UK,White,38,33,36,38,40,-0.21712,-0.21575,CL5,CL1,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL1
432,25-34,F,Left school at 18 years,UK,White,36,42,39,49,34,0.19268,-0.21575,CL5,CL2,CL1,CL0,CL6,CL2,CL5,CL2,CL0,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL5,CL0,CL0
433,25-34,M,University degree,UK,White,33,38,34,45,43,-0.71126,-1.18084,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
434,45-54,F,Left school at 16 years,UK,White,38,52,38,51,41,1.86203,0.7654,CL6,CL1,CL1,CL0,CL2,CL2,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
435,18-24,F,University degree,UK,White,34,46,35,56,52,-0.21712,-0.52593,CL5,CL0,CL2,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
436,25-34,F,University degree,UK,White,36,43,38,47,53,-0.71126,-0.52593,CL4,CL0,CL0,CL0,CL4,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
437,55-64,M,"Some college or university, no certificate or degree",USA,White,29,38,53,54,47,-1.37983,-1.18084,CL1,CL0,CL0,CL0,CL2,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL0
438,45-54,M,Left school at 16 years,UK,White,23,43,48,37,45,0.52975,0.40148,CL6,CL2,CL2,CL2,CL6,CL6,CL4,CL3,CL5,CL2,CL2,CL0,CL0,CL1,CL1,CL0,CL2,CL0,CL0
439,25-34,F,University degree,USA,White,59,37,40,31,26,0.88113,0.07987,CL5,CL2,CL0,CL6,CL6,CL2,CL6,CL2,CL2,CL0,CL2,CL0,CL2,CL0,CL2,CL2,CL6,CL0,CL0
440,18-24,F,"Some college or university, no certificate or degree",USA,White,49,38,48,42,28,0.19268,-0.21575,CL4,CL0,CL0,CL0,CL5,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL3
441,35-44,F,University degree,UK,White,31,43,42,48,53,-0.21712,-0.52593,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL2,CL0,CL0
442,18-24,F,"Some college or university, no certificate or degree",UK,White,29,49,31,43,46,0.52975,0.07987,CL3,CL0,CL0,CL0,CL5,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
443,25-34,F,Masters degree,UK,White,27,40,48,42,42,0.19268,0.07987,CL5,CL2,CL0,CL0,CL6,CL6,CL6,CL3,CL0,CL4,CL0,CL2,CL3,CL2,CL0,CL2,CL6,CL0,CL0
444,35-44,M,Left school at 16 years,UK,White,40,44,41,38,40,-0.21712,-0.21575,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0
445,45-54,F,Professional certificate/ diploma,UK,White,31,45,50,44,47,-2.55524,-0.84637,CL5,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
446,45-54,F,University degree,UK,White,46,33,42,37,45,-0.21712,-1.54858,CL5,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
447,25-34,F,University degree,UK,White,38,32,49,58,37,-0.71126,0.40148,CL6,CL2,CL2,CL2,CL5,CL3,CL5,CL2,CL0,CL2,CL0,CL2,CL3,CL3,CL3,CL2,CL6,CL0,CL0
448,25-34,M,Masters degree,UK,White,36,39,40,38,33,1.29221,0.07987,CL6,CL2,CL1,CL0,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL0,CL2,CL0,CL0,CL2,CL6,CL0,CL0
449,18-24,F,"Some college or university, no certificate or degree",UK,White,47,49,53,31,35,1.29221,1.2247,CL5,CL0,CL2,CL3,CL6,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL3,CL4,CL0,CL3,CL5,CL0,CL0
450,18-24,M,University degree,UK,White,32,44,49,41,47,-0.21712,0.07987,CL5,CL3,CL3,CL0,CL3,CL3,CL6,CL3,CL0,CL4,CL0,CL4,CL3,CL3,CL3,CL3,CL0,CL0,CL0
451,18-24,F,University degree,UK,White,43,39,40,47,34,0.52975,0.07987,CL5,CL2,CL2,CL2,CL6,CL5,CL4,CL2,CL2,CL2,CL0,CL2,CL2,CL0,CL0,CL2,CL6,CL0,CL0
452,18-24,F,Masters degree,UK,White,25,45,40,42,47,0.19268,-0.52593,CL5,CL0,CL0,CL0,CL4,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
453,35-44,F,University degree,UK,White,34,39,47,44,48,-1.37983,0.07987,CL5,CL0,CL0,CL0,CL3,CL2,CL6,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
454,25-34,M,University degree,UK,White,48,27,44,44,45,-1.37983,-0.21575,CL5,CL2,CL3,CL0,CL4,CL3,CL5,CL0,CL0,CL2,CL0,CL2,CL2,CL0,CL0,CL2,CL2,CL0,CL0
455,45-54,M,Doctorate degree,UK,White,34,36,52,38,40,1.86203,0.7654,CL6,CL6,CL2,CL5,CL6,CL6,CL6,CL3,CL2,CL3,CL5,CL2,CL4,CL4,CL5,CL3,CL4,CL0,CL1
456,18-24,F,University degree,UK,White,44,34,51,38,22,0.88113,-0.21575,CL6,CL3,CL3,CL0,CL6,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL4,CL0,CL0,CL0,CL5,CL0,CL0
457,35-44,M,University degree,UK,White,51,37,48,28,37,0.88113,0.40148,CL6,CL3,CL1,CL4,CL6,CL4,CL6,CL3,CL1,CL3,CL3,CL2,CL2,CL2,CL1,CL2,CL6,CL0,CL1
458,35-44,F,Masters degree,UK,White,31,36,47,47,47,-1.37983,-2.07848,CL5,CL0,CL0,CL0,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
459,18-24,F,University degree,UK,White,42,40,47,47,43,-0.21712,0.07987,CL6,CL4,CL2,CL0,CL6,CL6,CL6,CL2,CL0,CL4,CL0,CL4,CL4,CL3,CL0,CL3,CL6,CL0,CL0
460,25-34,M,Masters degree,UK,White,45,48,57,26,39,0.52975,0.07987,CL4,CL3,CL0,CL0,CL6,CL4,CL6,CL2,CL0,CL3,CL0,CL4,CL3,CL3,CL3,CL3,CL5,CL0,CL0
461,18-24,F,University degree,UK,White,48,30,54,31,44,0.88113,0.07987,CL6,CL3,CL3,CL4,CL6,CL5,CL6,CL3,CL0,CL2,CL3,CL5,CL3,CL2,CL3,CL2,CL6,CL0,CL0
462,18-24,M,"Some college or university, no certificate or degree",UK,White,50,30,28,54,32,0.52975,-1.18084,CL5,CL0,CL2,CL0,CL6,CL2,CL4,CL0,CL0,CL3,CL0,CL0,CL2,CL0,CL0,CL2,CL0,CL0,CL0
463,35-44,M,"Some college or university, no certificate or degree",UK,White,44,43,55,44,24,1.29221,1.2247,CL3,CL2,CL2,CL1,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL0,CL2,CL1,CL0,CL1,CL6,CL0,CL1
464,45-54,M,Left school at 18 years,UK,White,46,33,42,52,32,-0.21712,0.40148,CL6,CL1,CL2,CL0,CL6,CL1,CL3,CL1,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL1,CL3,CL0,CL1
465,18-24,F,University degree,UK,White,39,34,53,48,48,0.19268,-0.21575,CL5,CL2,CL2,CL3,CL5,CL3,CL5,CL0,CL0,CL2,CL0,CL0,CL2,CL3,CL3,CL3,CL6,CL0,CL0
466,18-24,F,Masters degree,UK,White,49,32,46,40,39,1.29221,0.7654,CL5,CL0,CL2,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
467,18-24,F,University degree,UK,Asian,39,44,53,50,40,-0.71126,0.7654,CL0,CL2,CL0,CL2,CL6,CL6,CL5,CL0,CL0,CL3,CL0,CL0,CL2,CL0,CL0,CL2,CL6,CL0,CL2
468,45-54,M,University degree,UK,White,38,40,54,43,51,-0.21712,-0.21575,CL6,CL1,CL1,CL0,CL2,CL1,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1,CL2,CL0,CL0
469,35-44,M,University degree,UK,White,35,41,41,41,43,-1.37983,-1.18084,CL6,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
470,25-34,M,University degree,UK,White,25,51,55,48,42,0.88113,1.2247,CL5,CL3,CL2,CL0,CL6,CL3,CL5,CL3,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL2,CL6,CL0,CL0
471,45-54,F,Left school at 16 years,USA,White,59,28,36,53,26,-0.21712,0.07987,CL3,CL1,CL1,CL6,CL6,CL1,CL6,CL1,CL1,CL1,CL2,CL0,CL0,CL1,CL6,CL0,CL6,CL0,CL0
472,18-24,F,University degree,UK,White,37,45,48,42,47,-0.71126,-0.84637,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
473,18-24,M,Masters degree,UK,Mixed-White/Black,27,55,53,50,55,-0.21712,0.40148,CL5,CL2,CL2,CL2,CL6,CL6,CL5,CL2,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL3,CL6,CL0,CL0
474,18-24,F,Left school before 16 years,UK,White,39,40,45,51,42,0.19268,-0.21575,CL5,CL2,CL2,CL2,CL6,CL3,CL5,CL2,CL2,CL2,CL2,CL0,CL2,CL2,CL2,CL0,CL6,CL0,CL2
475,35-44,F,"Some college or university, no certificate or degree",USA,White,49,40,43,38,38,0.88113,-0.21575,CL2,CL0,CL0,CL3,CL6,CL6,CL5,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL6,CL0,CL0
476,55-64,F,University degree,UK,Mixed-White/Asian,33,46,47,42,45,-1.37983,-2.07848,CL6,CL0,CL0,CL0,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
477,45-54,F,University degree,USA,White,25,46,43,48,48,-0.71126,-0.84637,CL3,CL1,CL0,CL0,CL6,CL6,CL4,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0
478,35-44,M,University degree,UK,White,52,33,50,31,39,0.19268,-0.84637,CL6,CL0,CL0,CL0,CL6,CL2,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL3
479,35-44,F,Professional certificate/ diploma,UK,White,50,35,41,35,32,1.29221,0.7654,CL6,CL0,CL1,CL6,CL6,CL2,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
480,25-34,F,University degree,UK,White,40,45,44,49,46,-0.21712,0.07987,CL6,CL0,CL0,CL0,CL6,CL2,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
481,25-34,F,Masters degree,Australia,White,40,37,55,52,44,0.19268,0.40148,CL6,CL0,CL0,CL2,CL6,CL2,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0
482,18-24,M,"Some college or university, no certificate or degree",USA,White,47,34,45,34,37,-1.37983,-0.84637,CL3,CL3,CL0,CL3,CL6,CL3,CL4,CL3,CL0,CL3,CL3,CL3,CL3,CL3,CL3,CL3,CL6,CL0,CL0
483,35-44,F,University degree,Australia,White,46,41,48,42,46,0.19268,0.40148,CL6,CL2,CL1,CL6,CL6,CL3,CL5,CL2,CL0,CL2,CL1,CL1,CL0,CL1,CL2,CL1,CL6,CL0,CL0
484,35-44,M,"Some college or university, no certificate or degree",UK,White,29,39,48,44,52,-0.71126,-0.21575,CL0,CL1,CL0,CL0,CL6,CL6,CL2,CL1,CL0,CL1,CL1,CL0,CL0,CL1,CL0,CL1,CL3,CL0,CL1
485,25-34,F,University degree,UK,White,48,43,55,45,48,0.19268,-0.84637,CL2,CL0,CL2,CL2,CL5,CL6,CL5,CL0,CL0,CL4,CL0,CL3,CL2,CL0,CL0,CL3,CL3,CL0,CL0
486,35-44,F,Left school at 16 years,UK,White,30,46,42,48,40,-1.37983,-1.18084,CL4,CL1,CL1,CL0,CL6,CL6,CL6,CL1,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
487,45-54,F,Left school at 16 years,UK,White,31,42,35,50,36,-1.37983,-0.84637,CL6,CL0,CL1,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
488,25-34,M,Left school at 18 years,Other,White,50,28,53,38,31,-0.71126,-1.18084,CL5,CL5,CL0,CL2,CL6,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL5,CL0,CL1
489,35-44,F,Left school at 18 years,USA,White,53,27,54,36,44,0.19268,-0.52593,CL4,CL0,CL0,CL6,CL6,CL6,CL6,CL1,CL1,CL0,CL1,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
490,25-34,M,Left school at 16 years,UK,White,40,30,47,48,39,-0.21712,1.2247,CL6,CL3,CL2,CL2,CL6,CL6,CL6,CL3,CL0,CL3,CL0,CL0,CL3,CL0,CL0,CL2,CL3,CL0,CL2
491,18-24,M,Left school before 16 years,UK,White,54,30,48,30,29,-0.21712,0.07987,CL3,CL0,CL0,CL0,CL0,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0
492,18-24,M,"Some college or university, no certificate or degree",UK,White,26,47,52,34,31,-0.71126,1.2247,CL5,CL0,CL0,CL0,CL6,CL6,CL5,CL3,CL0,CL4,CL0,CL3,CL4,CL4,CL0,CL4,CL5,CL0,CL0
493,45-54,F,Professional certificate/ diploma,UK,White,42,45,49,41,36,1.29221,1.92173,CL5,CL1,CL1,CL1,CL6,CL6,CL5,CL1,CL1,CL1,CL1,CL0,CL0,CL1,CL1,CL1,CL6,CL0,CL0
494,18-24,M,Left school at 18 years,UK,White,27,43,49,47,42,0.19268,0.40148,CL6,CL2,CL2,CL0,CL5,CL6,CL4,CL3,CL0,CL4,CL0,CL2,CL3,CL0,CL0,CL3,CL4,CL0,CL2
495,18-24,M,Professional certificate/ diploma,UK,White,41,36,52,43,44,0.88113,0.7654,CL5,CL0,CL4,CL4,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL0
496,18-24,M,"Some college or university, no certificate or degree",UK,White,43,28,52,35,29,-1.37983,-0.52593,CL6,CL0,CL0,CL0,CL6,CL3,CL5,CL0,CL0,CL5,CL0,CL3,CL3,CL4,CL0,CL4,CL6,CL0,CL0
497,18-24,M,Professional certificate/ diploma,Other,Other,25,37,49,47,43,-1.37983,-0.21575,CL4,CL0,CL2,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
498,55-64,M,"Some college or university, no certificate or degree",USA,White,28,41,50,47,48,-1.37983,-0.52593,CL3,CL1,CL0,CL1,CL6,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL3,CL1,CL4,CL0,CL6,CL0,CL0
499,25-34,M,Masters degree,UK,White,36,48,60,39,42,-0.71126,0.07987,CL6,CL2,CL2,CL2,CL6,CL2,CL6,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL0,CL2,CL6,CL0,CL0
500,25-34,M,Left school at 16 years,Other,White,35,36,52,46,36,-0.21712,0.07987,CL4,CL1,CL1,CL0,CL6,CL6,CL5,CL1,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL1
501,55-64,F,"Some college or university, no certificate or degree",UK,White,49,35,55,42,27,0.88113,1.2247,CL5,CL1,CL1,CL3,CL6,CL6,CL6,CL2,CL2,CL2,CL1,CL0,CL2,CL1,CL1,CL1,CL2,CL0,CL0
502,35-44,F,Professional certificate/ diploma,Republic of Ireland,White,36,43,40,38,49,0.52975,0.7654,CL3,CL0,CL1,CL2,CL6,CL6,CL6,CL4,CL0,CL4,CL0,CL0,CL3,CL0,CL0,CL0,CL6,CL0,CL1
503,25-34,F,Professional certificate/ diploma,UK,White,30,39,36,43,39,0.88113,-2.07848,CL3,CL1,CL0,CL0,CL6,CL2,CL5,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL2,CL0,CL6,CL0,CL1
504,18-24,M,"Some college or university, no certificate or degree",USA,White,22,44,44,39,40,0.52975,0.7654,CL5,CL0,CL0,CL0,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL3,CL5,CL0,CL0
505,55-64,F,Professional certificate/ diploma,Canada,White,36,38,44,38,46,1.29221,0.7654,CL1,CL0,CL1,CL4,CL5,CL5,CL4,CL1,CL1,CL0,CL0,CL0,CL6,CL1,CL4,CL1,CL1,CL0,CL1
506,35-44,M,Left school at 16 years,UK,White,35,40,44,43,45,-1.37983,-1.18084,CL1,CL0,CL0,CL0,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL6,CL0,CL0
507,45-54,M,Professional certificate/ diploma,Other,White,40,43,48,36,33,0.88113,0.07987,CL3,CL1,CL0,CL3,CL6,CL2,CL6,CL2,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL1,CL6,CL0,CL0
508,35-44,M,University degree,UK,White,31,44,52,38,46,0.19268,0.07987,CL4,CL2,CL3,CL1,CL6,CL2,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL0,CL0,CL3,CL2,CL0,CL1
509,25-34,M,University degree,UK,White,37,38,39,34,42,0.19268,-0.52593,CL3,CL2,CL3,CL0,CL5,CL6,CL6,CL3,CL0,CL2,CL0,CL2,CL0,CL0,CL0,CL2,CL6,CL0,CL0
510,35-44,M,Left school at 16 years,UK,White,50,32,38,31,36,-0.71126,0.07987,CL5,CL2,CL2,CL3,CL5,CL2,CL6,CL1,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL2,CL0,CL0
511,35-44,F,Masters degree,Other,White,26,47,44,45,43,-1.37983,-0.52593,CL5,CL0,CL0,CL0,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL1
