,gender,county,direction,party_preference,education,status,ethnicity,ur,age_group2,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
85,Female,UTA Găgăuzia,Wrong direction,Victorie (Ilan Sor),Secondary vocational education,About the same,Other,Urban,50-59,I have no confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
86,Male,Călărași,Right direction,Victorie (Ilan Sor),Lower secondary education,Worse,Moldovan,Rural,60+,Some confidence,I have no confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,No answer,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,A lot of confidence
87,Female,Căușeni,No answer,Other party,Post-secondary vocational education,Much worse,Bulgarian,Rural,60+,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
88,Female,Mun. Chișinău,Wrong direction,Undecided,Higher education,Worse,Moldovan,Urban,20-29,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence
89,Female,Mun. Bălți,Wrong direction,PRIM (Irina Vlah),Upper secondary education,Much worse,Ukrainian,Urban,50-59,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence
90,Male,Orhei,Wrong direction,Undecided,Lower secondary education,Worse,Moldovan,Rural,15-19,No answer,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,A lot of confidence,No answer,A lot of confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I don't have much confidence,Some confidence
91,Female,Mun. Chișinău,No answer,Undecided,Upper secondary education,Much worse,Moldovan,Urban,50-59,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,No answer,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence
92,Male,Mun. Chișinău,Right direction,Impreuna Electoral Bloc,Secondary vocational education,Worse,Moldovan,Urban,60+,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,No answer,Some confidence,Some confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,I don't have much confidence
93,Female,Hîncești,Wrong direction,Other party,Primary education,Worse,Moldovan,Rural,60+,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,No answer,No answer,No answer,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence
94,Male,Cahul,Right direction,PAS (Igor Grosu),Without education,About the same,Moldovan,Rural,60+,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,Some confidence,No answer,A lot of confidence,No answer,I don't have much confidence,Some confidence,Some confidence,Some confidence
95,Female,Ștefan Vodă,Right direction,PAS (Igor Grosu),Post-secondary vocational education,About the same,Moldovan,Rural,30-39,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
96,Female,Taraclia,Wrong direction,Other party,Post-secondary vocational education,Much worse,Bulgarian,Urban,20-29,No answer,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
97,Male,Mun. Bălți,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Urban,50-59,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,No answer,No answer,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,No answer,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,Some confidence
98,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Lower secondary education,Worse,Other,Urban,60+,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence
99,Female,Briceni,Right direction,PN (Renato Usatii),Without education,Worse,Moldovan,Rural,60+,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence
100,Female,Mun. Chișinău,No answer,PAS (Igor Grosu),Post-secondary vocational education,About the same,Ukrainian,Urban,60+,I have no confidence,Some confidence,A lot of confidence,I have no confidence,No answer,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
101,Female,Mun. Bălți,No answer,Other party,Higher education,Much worse,Moldovan,Urban,60+,Some confidence,Some confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence
102,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Upper secondary education,About the same,Moldovan,Urban,20-29,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
103,Male,Nisporeni,Right direction,PAS (Igor Grosu),Lower secondary education,Worse,Moldovan,Rural,20-29,No answer,I have no confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,No answer,I have no confidence,Some confidence,No answer,Some confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence
104,Male,Mun. Chișinău,Right direction,Undecided,Higher education,Worse,Moldovan,Urban,40-49,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,No answer,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence
105,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Higher education,About the same,Moldovan,Urban,50-59,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence
106,Male,Edineț,Wrong direction,Undecided,Lower secondary education,Better,Moldovan,Rural,60+,I have no confidence,Some confidence,I don't have much confidence,No answer,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,No answer
107,Female,Cimișlia,Wrong direction,Undecided,Higher education,About the same,Moldovan,Rural,30-39,No answer,Some confidence,I have no confidence,I don't have much confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,No answer,I don't have much confidence,No answer,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence
108,Female,Mun. Chișinău,Wrong direction,No party,Primary education,Much worse,Moldovan,Urban,15-19,No answer,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence
109,Female,Orhei,Right direction,PAS (Igor Grosu),Lower secondary education,Better,Moldovan,Rural,20-29,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,No answer,Some confidence
110,Female,Telenești,Right direction,Undecided,Lower secondary education,Much worse,Moldovan,Rural,60+,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,No answer,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence
111,Male,Sîngerei,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Rural,50-59,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,I don't have much confidence
112,Male,Mun. Chișinău,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Worse,Romanian,Urban,50-59,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence,No answer,No answer,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence
113,Male,Sîngerei,Right direction,PAS (Igor Grosu),Secondary vocational education,Better,Moldovan,Rural,60+,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence
114,Male,Ștefan Vodă,Wrong direction,Victorie (Ilan Sor),Secondary vocational education,Much better,Romanian,Rural,60+,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
115,Male,Cantemir,Wrong direction,PCRM (Vladimir Voronin),Lower secondary education,Worse,Moldovan,Rural,30-39,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,Some confidence,A lot of confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence
116,Female,Ocnița,Right direction,PAS (Igor Grosu),Post-secondary vocational education,Better,Ukrainian,Rural,60+,No answer,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence
117,Female,Orhei,No answer,No party,Post-secondary vocational education,Worse,Moldovan,Urban,20-29,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,No answer,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence
118,Female,Cantemir,Right direction,PAS (Igor Grosu),Lower secondary education,Much worse,Moldovan,Rural,15-19,No answer,Some confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence
119,Female,Orhei,Right direction,PAS (Igor Grosu),Primary education,Better,Moldovan,Rural,15-19,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
120,Male,Călărași,Right direction,PAS (Igor Grosu),Post-secondary vocational education,About the same,Moldovan,Rural,20-29,Some confidence,I have no confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,No answer,A lot of confidence,Some confidence,Some confidence
121,Female,Ștefan Vodă,Right direction,PAS (Igor Grosu),Upper secondary education,About the same,Moldovan,Rural,40-49,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
122,Male,Șoldănești,Wrong direction,Other party,Lower secondary education,Worse,Moldovan,Rural,50-59,No answer,I have no confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,No answer,No answer,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence
123,Female,Mun. Chișinău,Wrong direction,PCRM (Vladimir Voronin),Primary education,Worse,Ukrainian,Urban,40-49,Some confidence,I don't have much confidence,I have no confidence,No answer,A lot of confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence
124,Female,Mun. Chișinău,Wrong direction,PN (Renato Usatii),Lower secondary education,Much worse,Russian,Urban,15-19,No answer,No answer,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,No answer,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence
125,Female,Soroca,Wrong direction,PSRM (Igor Dodon),Higher education,Worse,Moldovan,Urban,30-39,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,A lot of confidence,No answer,No answer,I have no confidence,Some confidence
126,Male,Leova,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Urban,20-29,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence
127,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Secondary vocational education,Better,Moldovan,Urban,40-49,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,No answer,Some confidence,No answer,A lot of confidence,I don't have much confidence,No answer,Some confidence,Some confidence,No answer
128,Male,Sîngerei,Wrong direction,PAS (Igor Grosu),Higher education,Much worse,Moldovan,Rural,30-39,A lot of confidence,I have no confidence,No answer,I have no confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,No answer,I have no confidence,Some confidence,No answer,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence
129,Female,Soroca,Wrong direction,PSRM (Igor Dodon),Higher education,Worse,Ukrainian,Urban,60+,A lot of confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,Some confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,No answer,Some confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence
130,Male,Rezina,Right direction,PAS (Igor Grosu),Lower secondary education,Better,Moldovan,Rural,15-19,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,I don't have much confidence
131,Female,Florești,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Worse,Moldovan,Rural,40-49,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
132,Female,Anenii Noi,No answer,PAS (Igor Grosu),Lower secondary education,Worse,Moldovan,Rural,20-29,No answer,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,I don't have much confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,No answer,A lot of confidence,I don't have much confidence,Some confidence
133,Male,Mun. Chișinău,Right direction,Undecided,Higher education,Much better,Romanian,Urban,40-49,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence
134,Female,Rezina,Right direction,PAS (Igor Grosu),Higher education,About the same,Moldovan,Rural,30-39,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,Some confidence,Some confidence
135,Female,Ungheni,No answer,PN (Renato Usatii),Post-secondary vocational education,Worse,Moldovan,Urban,40-49,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
136,Female,Rezina,Right direction,No party,Lower secondary education,About the same,Moldovan,Rural,40-49,Some confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,Some confidence,Some confidence,No answer,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence
137,Male,UTA Găgăuzia,Wrong direction,PSRM (Igor Dodon),Post-secondary vocational education,About the same,Gagauz,Urban,50-59,I don't have much confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
138,Male,Edineț,Wrong direction,Undecided,Lower secondary education,About the same,Moldovan,Rural,60+,I have no confidence,Some confidence,I don't have much confidence,Some confidence,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
139,Male,Mun. Chișinău,Wrong direction,PSRM (Igor Dodon),Post-secondary vocational education,Worse,Moldovan,Urban,60+,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,A lot of confidence,No answer,I have no confidence
140,Female,Glodeni,Wrong direction,PCRM (Vladimir Voronin),Post-secondary vocational education,Worse,Moldovan,Rural,40-49,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,No answer,I have no confidence,No answer,I have no confidence,I have no confidence
141,Male,Nisporeni,Wrong direction,No party,Lower secondary education,About the same,Moldovan,Rural,50-59,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,No answer,I have no confidence,Some confidence,Some confidence,No answer
142,Female,Mun. Chișinău,No answer,PAS (Igor Grosu),Secondary vocational education,Better,Moldovan,Rural,50-59,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,No answer,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence
143,Female,Hîncești,Right direction,Undecided,Lower secondary education,About the same,Moldovan,Rural,15-19,No answer,I have no confidence,Some confidence,No answer,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,No answer,No answer,Some confidence,A lot of confidence,Some confidence,No answer,No answer,I don't have much confidence,No answer,Some confidence
144,Female,Ungheni,Wrong direction,Undecided,Post-secondary vocational education,About the same,Moldovan,Rural,60+,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,No answer,Some confidence
145,Female,Anenii Noi,Right direction,Undecided,Primary education,About the same,Ukrainian,Rural,60+,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,No answer,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence
146,Male,Criuleni,Wrong direction,PSRM (Igor Dodon),Primary education,Worse,Moldovan,Rural,60+,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
147,Female,Glodeni,No answer,No party,Post-secondary vocational education,Much worse,Moldovan,Rural,30-39,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence
148,Male,Rezina,Right direction,PAS (Igor Grosu),Secondary vocational education,Better,Moldovan,Rural,50-59,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
149,Male,Cahul,Right direction,PAS (Igor Grosu),Lower secondary education,Better,Moldovan,Rural,20-29,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,Some confidence
150,Female,Edineț,Wrong direction,PVM (Vasile Tarlev),Lower secondary education,Worse,Moldovan,Rural,50-59,A lot of confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,No answer,Some confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence
