,age_group,education,gender,nationality,urban_rural,electoral_district,citizen,ukraina,e-valimised,sündimus,kooselu,sisseränne,valitsus,riigikogu,ajakirjandus,party_preference,vote_power,interest
222,75+,Higher education,Male,Other,Urban,Tartu linn,True,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rather trust,Rather trust,Neither trust nor distrust,Isamaa,Rather yes,Somewhat
223,18-24,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Disagree,Don't know,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,SDE,Rather yes,Somewhat
224,65-74,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Don't know,Don't know,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,Somewhat
225,35-44,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Don't know,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Trust completely,Rather trust,Trust completely,Reformierakond,Rather yes,Somewhat
226,55-64,Secondary education,Male,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,Somewhat
227,35-44,Basic education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Strongly agree,Don't know,Don't know,Disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Undecided,Rather not,A little
228,18-24,Basic education,Male,Estonian,Rural,Lääne-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,Almost not at all
229,18-24,Basic education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Neither trust nor distrust,Neither trust nor distrust,Don't trust at all,SDE,Definitely,A little
230,25-34,Higher education,Female,Estonian,Rural,Lääne-Virumaa,True,Agree,Strongly agree,Strongly agree,Agree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Rather not,Somewhat
231,65-74,Basic education,Female,Estonian,Urban,Lääne-Virumaa,True,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Rather not trust,Don't trust at all,Rather trust,Isamaa,Rather not,Somewhat
232,65-74,Basic education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Agree,Don't know,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,Almost not at all
233,35-44,Higher education,Male,Estonian,Rural,Lääne-Virumaa,True,Disagree,Disagree,Agree,Disagree,Agree,Rather trust,Rather trust,Rather trust,Undecided,Rather yes,A little
234,18-24,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Agree,Disagree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather not,A little
235,35-44,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly disagree,Agree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Undecided,Rather not,A little
236,25-34,Basic education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,Almost not at all
237,55-64,Secondary education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Trust completely,Reformierakond,Definitely,Somewhat
238,75+,Higher education,Male,Estonian,Rural,Järva- ja Viljandimaa,True,Agree,Agree,Strongly agree,Disagree,Disagree,Don't trust at all,Don't trust at all,Rather trust,SDE,Rather not,Somewhat
239,55-64,Secondary education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Agree,Disagree,Agree,Agree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,Somewhat
240,35-44,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather not trust,SDE,Rather yes,A lot
241,55-64,Higher education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Agree,Strongly disagree,Disagree,Disagree,Disagree,Rather not trust,Rather trust,Rather trust,Undecided,Rather not,A lot
242,35-44,Higher education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly disagree,Don't know,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Undecided,Not at all,A little
243,45-54,Higher education,Female,Estonian,Rural,Ida-Virumaa,True,Disagree,Strongly disagree,Don't know,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Undecided,Definitely,Somewhat
244,45-54,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather trust,EKRE,Rather not,Somewhat
245,65-74,Higher education,Female,Estonian,Urban,Pärnumaa,True,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Rather trust,Rather trust,Rather not trust,Reformierakond,Rather yes,A lot
246,35-44,Secondary education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Not at all,Somewhat
247,25-34,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Rather not trust,Rather not trust,Don't trust at all,Undecided,Rather not,Almost not at all
248,75+,Higher education,Female,Estonian,Urban,Pärnumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Don't know,Rather trust,Don't trust at all,Rather not trust,Reformierakond,Definitely,A lot
249,25-34,Secondary education,Female,Estonian,Urban,Tartu linn,True,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,A little
250,65-74,Higher education,Male,Estonian,Urban,Harju- ja Raplamaa,True,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Don't trust at all,Don't trust at all,Rather trust,Parempoolsed,Not at all,A lot
251,55-64,Basic education,Female,Estonian,Rural,Pärnumaa,True,Strongly agree,Disagree,Agree,Agree,Strongly agree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Not at all,Almost not at all
252,35-44,Higher education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,Rather not trust,Rather not trust,Rather trust,Keskerakond,Definitely,A lot
253,55-64,Higher education,Female,Estonian,Rural,Lääne-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather not,Somewhat
254,55-64,Secondary education,Male,Estonian,Rural,Ida-Virumaa,True,Strongly agree,Strongly agree,Don't know,Strongly disagree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,Somewhat
255,65-74,Secondary education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Rather trust,Rather not trust,Rather not trust,Reformierakond,Definitely,A lot
256,55-64,Higher education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Agree,Disagree,Disagree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather trust,Undecided,Rather yes,A little
257,45-54,Basic education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Rather not trust,Don't trust at all,Rather not trust,Isamaa,Rather yes,A little
258,55-64,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Trust completely,Rather not trust,Rather not trust,Reformierakond,Definitely,A lot
259,55-64,Higher education,Female,Estonian,Urban,Pärnumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather not trust,Reformierakond,Rather yes,A little
260,45-54,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,Somewhat
261,65-74,Secondary education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Disagree,Don't know,Disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,A little
262,25-34,Higher education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Don't trust at all,Don't trust at all,Rather not trust,SDE,Rather not,Somewhat
263,25-34,Basic education,Male,Estonian,Urban,Tartu linn,True,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Rather trust,Rather not trust,Rather trust,SDE,Rather not,Almost not at all
264,65-74,Higher education,Female,Other,Rural,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Don't know,Rather not trust,Rather not trust,Don't trust at all,No party,Not at all,Somewhat
265,45-54,Basic education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather trust,EKRE,Not at all,A little
266,35-44,Secondary education,Male,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Rather trust,Rather trust,Rather not trust,Reformierakond,Rather yes,A lot
267,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Not at all,A little
268,55-64,Higher education,Male,Estonian,Rural,Ida-Virumaa,True,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Rather trust,Rather trust,Rather trust,Isamaa,Rather not,A lot
269,35-44,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Agree,Disagree,Disagree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Rather yes,A little
270,45-54,Basic education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Rather not,Somewhat
271,25-34,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Strongly agree,Disagree,Agree,Strongly agree,Agree,Rather trust,Rather not trust,Don't trust at all,Eesti 200,Rather not,Almost not at all
272,75+,Higher education,Female,Estonian,Urban,Ida-Virumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather not trust,Reformierakond,Rather yes,A lot
273,55-64,Higher education,Male,Estonian,Rural,Ida-Virumaa,True,Disagree,Strongly disagree,Agree,Agree,Disagree,Rather trust,Rather trust,Rather trust,Isamaa,Definitely,A lot
274,65-74,Higher education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,A lot
275,65-74,Higher education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Agree,Disagree,Strongly agree,Agree,Agree,Rather trust,Rather trust,Rather trust,Isamaa,Definitely,A lot
276,18-24,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Agree,Agree,Agree,Don't know,Agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather yes,A lot
277,55-64,Higher education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Rather trust,Rather trust,Rather trust,Isamaa,Definitely,Somewhat
278,65-74,Higher education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Don't know,Disagree,Disagree,Rather trust,Don't trust at all,Rather trust,Reformierakond,Rather yes,A lot
279,25-34,Basic education,Female,Estonian,Urban,Tartu linn,True,Strongly agree,Agree,Agree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Not at all,A little
280,55-64,Secondary education,Male,Estonian,Rural,Pärnumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Rather not trust,Don't trust at all,Don't trust at all,EKRE,Rather yes,A lot
281,75+,Secondary education,Female,Estonian,Urban,Järva- ja Viljandimaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather yes,Somewhat
282,25-34,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Agree,Disagree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,No party,Not at all,Somewhat
283,75+,Secondary education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Trust completely,Rather trust,Rather trust,Reformierakond,Rather yes,A lot
284,18-24,Basic education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Rather not trust,Don't trust at all,Rather not trust,SDE,Rather yes,A little
285,75+,Secondary education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Rather not trust,Rather not trust,Rather trust,SDE,Rather not,A lot
286,75+,Higher education,Male,Estonian,Rural,Pärnumaa,True,Disagree,Disagree,Agree,Disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Reformierakond,Rather not,A lot
287,45-54,Secondary education,Female,Estonian,Urban,Tartu linn,True,Don't know,Don't know,Disagree,Agree,Don't know,Rather trust,Rather trust,Rather not trust,Undecided,Rather not,Almost not at all
288,35-44,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Agree,Disagree,Strongly disagree,Don't know,Agree,Rather trust,Rather not trust,Don't trust at all,Reformierakond,Rather yes,A little
289,65-74,Secondary education,Female,Estonian,Urban,Ida-Virumaa,True,Don't know,Disagree,Don't know,Disagree,Don't know,Rather trust,Rather trust,Neither trust nor distrust,Isamaa,Rather yes,Somewhat
290,75+,Secondary education,Female,Estonian,Urban,Järva- ja Viljandimaa,True,Disagree,Disagree,Disagree,Strongly disagree,Agree,Rather not trust,Don't trust at all,Don't trust at all,Reformierakond,Rather yes,Somewhat
291,18-24,Secondary education,Female,Estonian,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly disagree,Agree,Disagree,Disagree,Rather trust,Rather trust,Rather trust,Parempoolsed,Rather yes,A lot
292,65-74,Basic education,Female,Estonian,Rural,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Definitely,Somewhat
293,35-44,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Agree,Agree,Strongly agree,Don't know,Rather not trust,Rather not trust,Don't trust at all,SDE,Rather yes,A little
294,35-44,Higher education,Female,Estonian,Urban,"Hiiu-, Lääne- ja Saaremaa",True,Strongly agree,Strongly agree,Disagree,Agree,Agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Not at all,Somewhat
295,75+,Higher education,Male,Estonian,Urban,Pärnumaa,True,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,Somewhat
296,45-54,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Rather not trust,Rather not trust,Don't trust at all,SDE,Rather not,Somewhat
297,55-64,Higher education,Male,Estonian,Urban,Ida-Virumaa,True,Disagree,Disagree,Don't know,Agree,Don't know,Rather trust,Rather trust,Don't trust at all,Reformierakond,Rather yes,A lot
298,35-44,Higher education,Male,Estonian,Rural,Tartu linn,True,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,A little
299,25-34,Higher education,Female,Estonian,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Disagree,Disagree,Agree,Agree,Rather trust,Rather trust,Rather not trust,SDE,Rather not,Almost not at all
300,25-34,Basic education,Male,Estonian,Rural,Pärnumaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather trust,Don't trust at all,EKRE,Rather yes,A lot
301,25-34,Secondary education,Male,Other,Urban,Tartu linn,True,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Rather not trust,Rather trust,Rather not trust,Keskerakond,Rather not,Almost not at all
302,75+,Higher education,Female,Estonian,Small town,Pärnumaa,True,Disagree,Agree,Agree,Don't know,Agree,Rather not trust,Neither trust nor distrust,Rather trust,Eesti 200,Rather not,A little
303,55-64,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Disagree,Don't know,Strongly disagree,Strongly disagree,Rather not trust,Rather trust,Rather trust,EKRE,Rather yes,Somewhat
304,25-34,Basic education,Female,Estonian,Urban,Tartu linn,True,Don't know,Disagree,Agree,Agree,Strongly agree,Rather not trust,Rather trust,Rather trust,No party,Rather not,Somewhat
305,35-44,Basic education,Male,Estonian,Urban,Pärnumaa,True,Strongly agree,Agree,Agree,Agree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Not at all,Almost not at all
306,35-44,Basic education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly agree,Agree,Don't know,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,Isamaa,Rather yes,Almost not at all
307,75+,Secondary education,Female,Estonian,,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Don't trust at all,Don't trust at all,Rather trust,Isamaa,Rather not,Somewhat
308,75+,Basic education,Female,Estonian,Urban,Ida-Virumaa,True,Agree,Disagree,Agree,Agree,Disagree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Rather not,Almost not at all
309,65-74,Secondary education,Male,Estonian,Urban,Tartu linn,True,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Rather trust,EKRE,Rather not,Somewhat
310,45-54,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Reformierakond,Rather yes,Somewhat
311,75+,Higher education,Male,Estonian,Urban,Tartu linn,True,Disagree,Disagree,Don't know,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Eesti 200,Definitely,A lot
312,55-64,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Agree,Don't know,Disagree,Strongly agree,Strongly agree,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,A lot
313,35-44,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Trust completely,Rather not trust,Rather trust,Reformierakond,Rather yes,Somewhat
314,35-44,Secondary education,Male,Estonian,Small town,Lääne-Virumaa,True,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Not at all,Somewhat
315,45-54,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
316,55-64,Secondary education,Female,Estonian,,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,Isamaa,Not at all,Somewhat
317,45-54,Secondary education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Definitely,Somewhat
318,75+,Higher education,Male,Estonian,Small town,Pärnumaa,True,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Rather not,Somewhat
319,45-54,Secondary education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather trust,SDE,Rather not,A little
320,45-54,Higher education,Male,Estonian,Small town,Pärnumaa,True,Disagree,Strongly disagree,Don't know,Disagree,Disagree,Trust completely,Rather not trust,Rather trust,Reformierakond,Definitely,A lot
321,55-64,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Don't know,Don't know,Don't know,Don't know,Rather not trust,Neither trust nor distrust,Rather trust,Isamaa,Rather not,Somewhat
322,75+,Secondary education,Female,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather not,A lot
323,35-44,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Rather trust,Rather trust,Rather trust,Undecided,Definitely,Somewhat
324,55-64,Higher education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,A lot
325,35-44,Secondary education,Female,Estonian,Urban,Harju- ja Raplamaa,True,Don't know,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Eesti 200,Rather yes,Almost not at all
326,75+,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Rather not trust,Rather not trust,Rather not trust,No party,Rather not,A little
327,75+,Higher education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Disagree,Agree,Disagree,Rather trust,Rather trust,Rather not trust,Reformierakond,Definitely,A lot
328,55-64,Secondary education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly agree,Agree,Disagree,Agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,A lot
329,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Definitely,Somewhat
330,35-44,Higher education,Female,Estonian,Urban,Tartu linn,True,Don't know,Don't know,Disagree,Agree,Strongly agree,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Isamaa,Rather yes,Somewhat
331,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Strongly agree,Don't know,Don't know,Rather not trust,Rather trust,Rather trust,Isamaa,Not at all,Somewhat
332,75+,Higher education,Male,Estonian,Urban,Harju- ja Raplamaa,True,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Not at all,A lot
333,45-54,Secondary education,Male,Estonian,Urban,Ida-Virumaa,True,Disagree,Strongly disagree,Don't know,Agree,Don't know,Rather trust,Rather trust,Rather trust,Isamaa,Rather not,Almost not at all
334,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,SDE,Rather yes,A lot
335,25-34,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Don't know,Disagree,Don't know,Strongly agree,Don't know,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,A little
336,35-44,Secondary education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Isamaa,Rather yes,A little
337,35-44,Basic education,Male,Estonian,Urban,"Hiiu-, Lääne- ja Saaremaa",True,Agree,Disagree,Don't know,Agree,Strongly agree,Rather trust,Rather not trust,Don't trust at all,Reformierakond,Not at all,Almost not at all
338,75+,Higher education,Female,Estonian,Urban,Pärnumaa,True,Disagree,Disagree,Don't know,Strongly agree,Agree,Rather not trust,Neither trust nor distrust,Rather trust,SDE,Definitely,A lot
339,45-54,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Disagree,Strongly agree,Disagree,Don't trust at all,Don't trust at all,Don't trust at all,SDE,Rather yes,Somewhat
340,55-64,Higher education,Male,Estonian,Urban,Harju- ja Raplamaa,True,Disagree,Disagree,Don't know,Disagree,Agree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,A lot
341,18-24,Basic education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Rather trust,Rather trust,Trust completely,SDE,Definitely,Almost not at all
342,35-44,Secondary education,Male,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Trust completely,Rather trust,Rather trust,Reformierakond,Definitely,Somewhat
343,65-74,Higher education,Male,Estonian,Rural,Lääne-Virumaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather yes,A lot
344,35-44,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly disagree,Don't know,Strongly agree,Strongly agree,Trust completely,Trust completely,Trust completely,Isamaa,Rather not,A lot
345,75+,Basic education,Male,Estonian,Urban,Harju- ja Raplamaa,True,Strongly disagree,Agree,Strongly agree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,Somewhat
346,45-54,Secondary education,Female,Other,Rural,Järva- ja Viljandimaa,True,Strongly agree,Agree,Agree,Agree,Strongly agree,Rather not trust,Rather not trust,Don't trust at all,Keskerakond,Rather not,Somewhat
347,65-74,Secondary education,Male,Estonian,Rural,Ida-Virumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Don't trust at all,Rather trust,Rather not trust,EKRE,Rather yes,A lot
348,55-64,Higher education,Female,Other,Rural,Ida-Virumaa,True,Strongly agree,Don't know,Disagree,Disagree,Disagree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,Almost not at all
349,25-34,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Neither trust nor distrust,Neither trust nor distrust,Rather trust,SDE,Rather yes,A lot
350,45-54,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Disagree,Don't know,Agree,Neither trust nor distrust,Neither trust nor distrust,Rather not trust,Reformierakond,Rather not,Somewhat
351,55-64,Higher education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Agree,Agree,Strongly agree,Strongly agree,Rather trust,Rather not trust,Rather not trust,SDE,Rather yes,Somewhat
352,75+,Higher education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Rather trust,Rather not trust,Rather not trust,Reformierakond,Rather yes,A lot
353,18-24,Basic education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Neither trust nor distrust,Neither trust nor distrust,Rather not trust,Eesti 200,Rather yes,A little
354,25-34,Secondary education,Female,Other,Rural,Ida-Virumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather yes,A little
